,专用设备制造业外商及港澳台商投资工业企业主营业务费用及附加,仪器仪表制造业外商及港澳台商投资工业企业主营业务费用及附加,其他制造业外商及港澳台商投资工业企业主营业务费用及附加,其他采矿业外商及港澳台商投资工业企业主营业务费用及附加,农副食品加工业外商及港澳台商投资工业企业主营业务费用及附加,化学原料和化学制品制造业外商及港澳台商投资工业企业主营业务费用及附加,化学纤维制造业外商及港澳台商投资工业企业主营业务费用及附加,医药制造业外商及港澳台商投资工业企业主营业务费用及附加,印刷和记录媒介复制业外商及港澳台商投资工业企业主营业务费用及附加,外商及港澳台商投资工业企业主营业务费用及附加,家具制造业外商及港澳台商投资工业企业主营业务费用及附加,废弃资源综合利用业外商及港澳台商投资工业企业主营业务费用及附加,开采辅助活动外商及港澳台商投资工业企业主营业务费用及附加,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业主营业务费用及附加,有色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务费用及附加,有色金属矿采选业外商及港澳台商投资工业企业主营业务费用及附加,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务费用及附加,橡胶和塑料制品业外商及港澳台商投资工业企业主营业务费用及附加,水的生产和供应业外商及港澳台商投资工业企业主营业务费用及附加,汽车制造业外商及港澳台商投资工业企业主营业务费用及附加,烟草制品业外商及港澳台商投资工业企业主营业务费用及附加,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务费用及附加,燃气生产和供应业外商及港澳台商投资工业企业主营业务费用及附加,电力、热力生产和供应业外商及港澳台商投资工业企业主营业务费用及附加,电气机械和器材制造业外商及港澳台商投资工业企业主营业务费用及附加,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业主营业务费用及附加,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业主营业务费用及附加,石油和天然气开采业外商及港澳台商投资工业企业主营业务费用及附加,纺织业外商及港澳台商投资工业企业主营业务费用及附加,纺织服装、服饰业外商及港澳台商投资工业企业主营业务费用及附加,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业主营业务费用及附加,通用设备制造业外商及港澳台商投资工业企业主营业务费用及附加,造纸和纸制品业外商及港澳台商投资工业企业主营业务费用及附加,酒、饮料和精制茶制造业外商及港澳台商投资工业企业主营业务费用及附加,金属制品、机械和设备修理业外商及港澳台商投资工业企业主营业务费用及附加,金属制品业外商及港澳台商投资工业企业主营业务费用及附加,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业主营业务费用及附加,非金属矿物制品业外商及港澳台商投资工业企业主营业务费用及附加,非金属矿采选业外商及港澳台商投资工业企业主营业务费用及附加,食品制造业外商及港澳台商投资工业企业主营业务费用及附加,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务费用及附加,黑色金属矿采选业外商及港澳台商投资工业企业主营业务费用及附加
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,26.9983,9.42149,2.11363,0.0,28.68484,67.74153,4.02744,30.06932,5.30656,1934.8,6.04112,0.61055,1.81024,15.97425,12.31046,1.79095,5.6158,30.26586,3.7828,733.08218,0.01919,31.27379,6.3946,15.89473,52.10894,24.76049,328.15683,57.19944,22.67696,29.61391,103.2144,41.07486,12.19687,91.37526,0.99284,28.42991,20.53586,28.41743,1.69106,27.98255,22.61841,2.5262
2013年,29.49,10.97,2.37,0.0,30.28,68.8,4.9,32.67,6.61,2207.91,8.45,0.97,1.89,20.06,14.48,2.14,6.09,34.47,4.29,922.32,0.02,16.18,9.09,21.28,56.34,24.73,354.46,51.3,24.24,33.19,112.52,54.99,12.08,97.2,0.6,30.12,20.65,31.39,1.74,33.82,18.3,2.41
2014年,32.59,10.74,2.51,0.0,30.19,77.44,4.68,36.97,7.24,2213.46,8.9,0.95,1.98,20.07,13.97,1.74,6.43,31.96,4.29,967.1,0.03,11.99,9.91,21.33,63.2,27.56,299.82,52.54,24.54,35.59,95.64,61.23,12.86,99.08,0.74,31.05,18.44,30.76,2.08,32.84,19.41,3.1
