,专用设备制造业外商及港澳台商投资工业企业亏损总额,仪器仪表制造业外商及港澳台商投资工业企业亏损总额,其他制造业外商及港澳台商投资工业企业亏损总额,其他采矿业外商及港澳台商投资工业企业亏损总额,农副食品加工业外商及港澳台商投资工业企业亏损总额,化学原料和化学制品制造业外商及港澳台商投资工业企业亏损总额,化学纤维制造业外商及港澳台商投资工业企业亏损总额,医药制造业外商及港澳台商投资工业企业亏损总额,印刷和记录媒介复制业外商及港澳台商投资工业企业亏损总额,外商及港澳台商投资工业企业亏损总额,家具制造业外商及港澳台商投资工业企业亏损总额,废弃资源综合利用业外商及港澳台商投资工业企业亏损总额,开采辅助活动外商及港澳台商投资工业企业亏损总额,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业亏损总额,有色金属冶炼和压延加工业外商及港澳台商投资工业企业亏损总额,有色金属矿采选业外商及港澳台商投资工业企业亏损总额,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业亏损总额,橡胶和塑料制品业外商及港澳台商投资工业企业亏损总额,水的生产和供应业外商及港澳台商投资工业企业亏损总额,汽车制造业外商及港澳台商投资工业企业亏损总额,烟草制品业外商及港澳台商投资工业企业亏损总额,煤炭开采和洗选业外商及港澳台商投资工业企业亏损总额,燃气生产和供应业外商及港澳台商投资工业企业亏损总额,电力、热力生产和供应业外商及港澳台商投资工业企业亏损总额,电气机械和器材制造业外商及港澳台商投资工业企业亏损总额,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业亏损总额,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业亏损总额,石油和天然气开采业外商及港澳台商投资工业企业亏损总额,纺织业外商及港澳台商投资工业企业亏损总额,纺织服装、服饰业外商及港澳台商投资工业企业亏损总额,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业亏损总额,通用设备制造业外商及港澳台商投资工业企业亏损总额,造纸和纸制品业外商及港澳台商投资工业企业亏损总额,酒、饮料和精制茶制造业外商及港澳台商投资工业企业亏损总额,金属制品、机械和设备修理业外商及港澳台商投资工业企业亏损总额,金属制品业外商及港澳台商投资工业企业亏损总额,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业亏损总额,非金属矿物制品业外商及港澳台商投资工业企业亏损总额,非金属矿采选业外商及港澳台商投资工业企业亏损总额,食品制造业外商及港澳台商投资工业企业亏损总额,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业亏损总额,黑色金属矿采选业外商及港澳台商投资工业企业亏损总额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,76.16477,12.55426,2.83984,0.0,32.73388,162.80164,16.1926,25.76568,9.54099,1516.06,9.97261,6.47015,0.0,12.61829,37.95411,0.56784,7.55238,71.10366,2.85683,64.93508,0.0,1.68178,3.84491,35.28204,129.43261,12.49972,87.22981,0.809,31.30112,26.25534,235.4238,66.70339,23.00426,61.18908,7.08298,40.93605,26.63242,77.46471,0.69928,22.08015,73.41087,0.46726
2013年,83.55,8.95,3.42,0.0,38.42,156.09,13.45,26.12,9.12,1445.18,9.91,11.39,0.0,14.07,34.85,0.56,5.05,60.06,3.42,92.91,0.0,1.99,4.1,26.92,126.89,15.12,45.2,0.78,26.19,33.45,216.67,78.87,22.97,40.53,5.54,33.5,31.91,63.93,0.94,30.84,67.21,0.29
2014年,76.08,9.61,2.87,0.0,55.33,231.21,17.15,25.86,5.98,1556.86,9.3,14.89,0.83,11.44,37.37,1.39,4.8,66.51,4.48,116.77,0.0,3.43,7.38,19.16,90.31,10.89,66.57,0.1,32.5,30.49,209.7,66.75,35.7,48.34,9.26,44.72,20.07,58.94,1.41,36.34,69.81,3.12
