,专用设备制造业外商及港澳台商投资工业企业实收资本,仪器仪表制造业外商及港澳台商投资工业企业实收资本,其他制造业外商及港澳台商投资工业企业实收资本,其他采矿业外商及港澳台商投资工业企业实收资本,农副食品加工业外商及港澳台商投资工业企业实收资本,化学原料和化学制品制造业外商及港澳台商投资工业企业实收资本,化学纤维制造业外商及港澳台商投资工业企业实收资本,医药制造业外商及港澳台商投资工业企业实收资本,印刷和记录媒介复制业外商及港澳台商投资工业企业实收资本,外商及港澳台商投资工业企业实收资本,家具制造业外商及港澳台商投资工业企业实收资本,废弃资源综合利用业外商及港澳台商投资工业企业实收资本,开采辅助活动外商及港澳台商投资工业企业实收资本,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业实收资本,有色金属冶炼和压延加工业外商及港澳台商投资工业企业实收资本,有色金属矿采选业外商及港澳台商投资工业企业实收资本,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业实收资本,橡胶和塑料制品业外商及港澳台商投资工业企业实收资本,水的生产和供应业外商及港澳台商投资工业企业实收资本,汽车制造业外商及港澳台商投资工业企业实收资本,烟草制品业外商及港澳台商投资工业企业实收资本,煤炭开采和洗选业外商及港澳台商投资工业企业实收资本,燃气生产和供应业外商及港澳台商投资工业企业实收资本,电力、热力生产和供应业外商及港澳台商投资工业企业实收资本,电气机械和器材制造业外商及港澳台商投资工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业实收资本,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业实收资本,石油和天然气开采业外商及港澳台商投资工业企业实收资本,纺织业外商及港澳台商投资工业企业实收资本,纺织服装、服饰业外商及港澳台商投资工业企业实收资本,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业实收资本,通用设备制造业外商及港澳台商投资工业企业实收资本,造纸和纸制品业外商及港澳台商投资工业企业实收资本,酒、饮料和精制茶制造业外商及港澳台商投资工业企业实收资本,金属制品、机械和设备修理业外商及港澳台商投资工业企业实收资本,金属制品业外商及港澳台商投资工业企业实收资本,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业实收资本,非金属矿物制品业外商及港澳台商投资工业企业实收资本,非金属矿采选业外商及港澳台商投资工业企业实收资本,食品制造业外商及港澳台商投资工业企业实收资本,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业实收资本,黑色金属矿采选业外商及港澳台商投资工业企业实收资本
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1563.2043,455.13942,126.20857,0.0,1103.745,4038.75188,497.17359,912.98986,351.09097,44146.45,350.01224,73.31878,13.45461,562.04345,808.92565,49.45843,198.37242,1850.49472,328.30348,3448.70859,0.56,130.76122,386.70902,2125.58883,2935.02791,694.19644,510.01297,10.82084,1495.50045,998.40555,7121.33192,2130.11257,1658.97292,980.80464,116.44635,1368.74403,690.81245,1893.7847,26.08571,922.3836,1191.41549,26.58106
2013年,1673.16,460.26,146.15,0.0,2583.59,4553.9,585.75,990.14,385.43,48563.06,396.32,81.3,13.75,630.51,875.87,43.57,197.11,1902.92,351.69,3754.11,0.56,177.88,534.43,2288.34,3045.58,686.88,558.6,23.3,1504.06,1035.7,7357.97,2385.32,1731.52,1118.13,107.86,1468.21,703.9,1840.36,32.43,977.1,1305.05,54.32
2014年,2136.39,464.03,150.59,0.0,1166.53,4868.27,601.01,1068.79,383.05,49428.11,359.2,77.35,18.15,630.2,970.27,49.51,203.59,1943.56,372.96,4116.32,0.56,167.13,578.77,2240.96,3160.2,671.56,699.27,10.49,1482.29,1092.45,7666.84,2680.86,1778.63,1098.9,112.94,1533.77,666.33,1891.67,31.04,1014.5,1240.89,28.29
