,专用设备制造业外商及港澳台商投资工业企业单位数,仪器仪表制造业外商及港澳台商投资工业企业单位数,其他制造业外商及港澳台商投资工业企业单位数,其他采矿业外商及港澳台商投资工业企业单位数,农副食品加工业外商及港澳台商投资工业企业单位数,化学原料和化学制品制造业外商及港澳台商投资工业企业单位数,化学纤维制造业外商及港澳台商投资工业企业单位数,医药制造业外商及港澳台商投资工业企业单位数,印刷和记录媒介复制业外商及港澳台商投资工业企业单位数,外商及港澳台商投资工业企业单位数,家具制造业外商及港澳台商投资工业企业单位数,废弃资源综合利用业外商及港澳台商投资工业企业单位数,开采辅助活动外商及港澳台商投资工业企业单位数,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业单位数,有色金属冶炼和压延加工业外商及港澳台商投资工业企业单位数,有色金属矿采选业外商及港澳台商投资工业企业单位数,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业单位数,橡胶和塑料制品业外商及港澳台商投资工业企业单位数,水的生产和供应业外商及港澳台商投资工业企业单位数,汽车制造业外商及港澳台商投资工业企业单位数,烟草制品业外商及港澳台商投资工业企业单位数,煤炭开采和洗选业外商及港澳台商投资工业企业单位数,燃气生产和供应业外商及港澳台商投资工业企业单位数,电力、热力生产和供应业外商及港澳台商投资工业企业单位数,电气机械和器材制造业外商及港澳台商投资工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业单位数,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业单位数,石油和天然气开采业外商及港澳台商投资工业企业单位数,纺织业外商及港澳台商投资工业企业单位数,纺织服装、服饰业外商及港澳台商投资工业企业单位数,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业单位数,通用设备制造业外商及港澳台商投资工业企业单位数,造纸和纸制品业外商及港澳台商投资工业企业单位数,酒、饮料和精制茶制造业外商及港澳台商投资工业企业单位数,金属制品、机械和设备修理业外商及港澳台商投资工业企业单位数,金属制品业外商及港澳台商投资工业企业单位数,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业单位数,非金属矿物制品业外商及港澳台商投资工业企业单位数,非金属矿采选业外商及港澳台商投资工业企业单位数,食品制造业外商及港澳台商投资工业企业单位数,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业单位数
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,2653,950,413,0,1982,3559,289,946,618,56908,1000,165,11,2168,725,61,591,3437,134,2586,1,41,270,462,4233,2319,179,11,3152,4588,5577,3623,1115,756,72,3007,738,2359,71,1218,789,39
2013年,2724,967,409,0,1953,3589,300,953,690,57368,998,169,9,2345,741,58,533,3472,149,2721,1,43,312,506,4270,2258,176,12,3064,4439,5603,3779,1023,790,71,3054,730,2328,79,1220,792,38
2014年,2667,956,388,0,1871,3514,289,915,665,55172,927,166,10,2230,716,52,487,3315,163,2864,1,41,337,521,4109,2108,176,10,2841,4023,5358,3722,960,801,64,2951,697,2232,70,1201,716,38
