,专用设备制造业外商及港澳台商投资工业企业流动负债合计,仪器仪表制造业外商及港澳台商投资工业企业流动负债合计,其他制造业外商及港澳台商投资工业企业流动负债合计,其他采矿业外商及港澳台商投资工业企业流动负债合计,农副食品加工业外商及港澳台商投资工业企业流动负债合计,化学原料和化学制品制造业外商及港澳台商投资工业企业流动负债合计,化学纤维制造业外商及港澳台商投资工业企业流动负债合计,医药制造业外商及港澳台商投资工业企业流动负债合计,印刷和记录媒介复制业外商及港澳台商投资工业企业流动负债合计,外商及港澳台商投资工业企业流动负债合计,家具制造业外商及港澳台商投资工业企业流动负债合计,废弃资源综合利用业外商及港澳台商投资工业企业流动负债合计,开采辅助活动外商及港澳台商投资工业企业流动负债合计,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业流动负债合计,有色金属冶炼和压延加工业外商及港澳台商投资工业企业流动负债合计,有色金属矿采选业外商及港澳台商投资工业企业流动负债合计,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动负债合计,橡胶和塑料制品业外商及港澳台商投资工业企业流动负债合计,水的生产和供应业外商及港澳台商投资工业企业流动负债合计,汽车制造业外商及港澳台商投资工业企业流动负债合计,烟草制品业外商及港澳台商投资工业企业流动负债合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动负债合计,燃气生产和供应业外商及港澳台商投资工业企业流动负债合计,电力、热力生产和供应业外商及港澳台商投资工业企业流动负债合计,电气机械和器材制造业外商及港澳台商投资工业企业流动负债合计,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业流动负债合计,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业流动负债合计,石油和天然气开采业外商及港澳台商投资工业企业流动负债合计,纺织业外商及港澳台商投资工业企业流动负债合计,纺织服装、服饰业外商及港澳台商投资工业企业流动负债合计,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业流动负债合计,通用设备制造业外商及港澳台商投资工业企业流动负债合计,造纸和纸制品业外商及港澳台商投资工业企业流动负债合计,酒、饮料和精制茶制造业外商及港澳台商投资工业企业流动负债合计,金属制品、机械和设备修理业外商及港澳台商投资工业企业流动负债合计,金属制品业外商及港澳台商投资工业企业流动负债合计,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业流动负债合计,非金属矿物制品业外商及港澳台商投资工业企业流动负债合计,非金属矿采选业外商及港澳台商投资工业企业流动负债合计,食品制造业外商及港澳台商投资工业企业流动负债合计,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业流动负债合计,黑色金属矿采选业外商及港澳台商投资工业企业流动负债合计
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,3155.79296,722.81525,153.35867,0.0,3151.32034,5778.60537,912.18339,1606.44098,425.70081,82771.47,589.4674,283.50668,21.49516,880.18326,1937.8827,58.26566,274.44685,2560.37869,267.93114,8244.87544,0.34989,1088.7398,736.30738,1998.73354,5982.72819,1096.26065,1453.35656,511.67522,2110.72103,1634.87794,15868.91042,4338.6727,2051.39035,1418.96881,130.85289,2118.37785,1883.16011,2388.19198,42.38547,1549.92704,3260.5135,81.71318
2013年,3404.38,766.17,175.64,0.0,3247.96,6623.61,1012.0,1737.93,483.93,89640.47,697.54,246.72,29.82,979.13,2349.09,83.65,290.7,2648.31,298.29,10035.87,0.67,1142.37,938.03,1983.31,6404.62,1134.25,1490.59,559.03,2147.91,1627.98,16511.33,4740.56,2170.45,1569.09,157.15,2116.55,1770.46,2580.96,51.83,1805.21,3555.75,71.58
2014年,3487.93,788.85,184.45,0.0,3002.24,6992.28,1032.08,1955.51,460.4,93078.87,684.67,138.89,33.47,1107.37,2472.8,111.47,282.19,2542.03,379.22,11010.51,0.45,1117.49,1029.71,1959.73,6282.46,1146.72,1419.51,658.43,2065.14,1565.27,18517.65,4952.81,2239.99,1678.87,161.74,2233.54,1846.2,2647.48,65.33,1856.14,2882.0,85.84
