,专用设备制造业外商及港澳台商投资工业企业主营业务收入,仪器仪表制造业外商及港澳台商投资工业企业主营业务收入,其他制造业外商及港澳台商投资工业企业主营业务收入,其他采矿业外商及港澳台商投资工业企业主营业务收入,农副食品加工业外商及港澳台商投资工业企业主营业务收入,化学原料和化学制品制造业外商及港澳台商投资工业企业主营业务收入,化学纤维制造业外商及港澳台商投资工业企业主营业务收入,医药制造业外商及港澳台商投资工业企业主营业务收入,印刷和记录媒介复制业外商及港澳台商投资工业企业主营业务收入,外商及港澳台商投资工业企业主营业务收入,家具制造业外商及港澳台商投资工业企业主营业务收入,废弃资源综合利用业外商及港澳台商投资工业企业主营业务收入,开采辅助活动外商及港澳台商投资工业企业主营业务收入,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业主营业务收入,有色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务收入,有色金属矿采选业外商及港澳台商投资工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务收入,橡胶和塑料制品业外商及港澳台商投资工业企业主营业务收入,水的生产和供应业外商及港澳台商投资工业企业主营业务收入,汽车制造业外商及港澳台商投资工业企业主营业务收入,烟草制品业外商及港澳台商投资工业企业主营业务收入,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务收入,燃气生产和供应业外商及港澳台商投资工业企业主营业务收入,电力、热力生产和供应业外商及港澳台商投资工业企业主营业务收入,电气机械和器材制造业外商及港澳台商投资工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业主营业务收入,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业主营业务收入,石油和天然气开采业外商及港澳台商投资工业企业主营业务收入,纺织业外商及港澳台商投资工业企业主营业务收入,纺织服装、服饰业外商及港澳台商投资工业企业主营业务收入,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业主营业务收入,通用设备制造业外商及港澳台商投资工业企业主营业务收入,造纸和纸制品业外商及港澳台商投资工业企业主营业务收入,酒、饮料和精制茶制造业外商及港澳台商投资工业企业主营业务收入,金属制品、机械和设备修理业外商及港澳台商投资工业企业主营业务收入,金属制品业外商及港澳台商投资工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业主营业务收入,非金属矿物制品业外商及港澳台商投资工业企业主营业务收入,非金属矿采选业外商及港澳台商投资工业企业主营业务收入,食品制造业外商及港澳台商投资工业企业主营业务收入,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务收入,黑色金属矿采选业外商及港澳台商投资工业企业主营业务收入
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,5986.0586,2088.36392,495.53563,0.0,10209.50124,15853.21574,1894.88858,4056.1191,990.44244,221948.78,1535.50524,524.94767,128.34213,3643.93009,4680.09154,134.72631,942.46909,6528.64264,221.8126,23462.06161,1.67387,1568.82272,1324.75943,2918.41393,15020.33691,4347.65416,4584.24696,636.20471,5532.8911,5825.69011,51992.18579,9969.6015,3378.7314,3668.67776,266.31319,5916.09446,3232.47635,5069.74002,108.4334,4993.70514,7960.82038,254.65441
2013年,6368.23,2331.88,527.5,0.0,10662.44,17677.23,2144.38,4538.87,1218.36,242964.16,1725.48,529.79,131.63,4370.54,5260.68,157.36,1012.01,7002.66,245.54,28307.08,2.25,1841.1,1659.4,3162.46,16321.97,4578.91,4583.28,712.93,5953.59,6096.39,56131.57,10946.34,3391.6,3949.84,261.06,6290.57,3105.72,5394.01,121.2,5738.69,8240.68,268.94
2014年,6591.53,2447.67,558.9,0.0,10243.92,19005.49,2136.71,5052.05,1247.2,252630.07,1791.57,361.36,133.02,4833.68,5503.06,146.93,1080.0,6805.77,271.28,31854.06,2.25,1877.13,1973.64,3027.74,17122.95,4813.25,4801.32,652.05,6056.26,6335.47,57549.91,11507.05,3514.41,4094.31,277.7,6564.05,3315.55,5551.45,122.62,5844.57,7279.5,282.69
