,专用设备制造业外商及港澳台商投资工业企业个人资本金,仪器仪表制造业外商及港澳台商投资工业企业个人资本金,其他制造业外商及港澳台商投资工业企业个人资本金,其他采矿业外商及港澳台商投资工业企业个人资本金,农副食品加工业外商及港澳台商投资工业企业个人资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业个人资本金,化学纤维制造业外商及港澳台商投资工业企业个人资本金,医药制造业外商及港澳台商投资工业企业个人资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业个人资本金,外商及港澳台商投资工业企业个人资本金,家具制造业外商及港澳台商投资工业企业个人资本金,废弃资源综合利用业外商及港澳台商投资工业企业个人资本金,开采辅助活动外商及港澳台商投资工业企业个人资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业个人资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业个人资本金,有色金属矿采选业外商及港澳台商投资工业企业个人资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业个人资本金,橡胶和塑料制品业外商及港澳台商投资工业企业个人资本金,水的生产和供应业外商及港澳台商投资工业企业个人资本金,汽车制造业外商及港澳台商投资工业企业个人资本金,烟草制品业外商及港澳台商投资工业企业个人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业个人资本金,燃气生产和供应业外商及港澳台商投资工业企业个人资本金,电力、热力生产和供应业外商及港澳台商投资工业企业个人资本金,电气机械和器材制造业外商及港澳台商投资工业企业个人资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业个人资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业个人资本金,石油和天然气开采业外商及港澳台商投资工业企业个人资本金,纺织业外商及港澳台商投资工业企业个人资本金,纺织服装、服饰业外商及港澳台商投资工业企业个人资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业个人资本金,通用设备制造业外商及港澳台商投资工业企业个人资本金,造纸和纸制品业外商及港澳台商投资工业企业个人资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业个人资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业个人资本金,金属制品业外商及港澳台商投资工业企业个人资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业个人资本金,非金属矿物制品业外商及港澳台商投资工业企业个人资本金,非金属矿采选业外商及港澳台商投资工业企业个人资本金,食品制造业外商及港澳台商投资工业企业个人资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业个人资本金,黑色金属矿采选业外商及港澳台商投资工业企业个人资本金
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,59.03858,26.38008,3.49726,0.0,70.32073,122.76323,16.20707,40.11424,17.61518,1481.55,15.23209,8.79442,0.0,22.7928,30.00229,4.51017,11.56892,54.17504,3.50609,49.94959,0.36304,23.46205,6.15829,16.71269,134.54204,37.87569,24.84947,0.0,73.71979,67.70263,88.1022,99.23519,43.4077,26.75782,2.8475,76.27476,21.19977,93.87921,2.21984,28.85735,52.22,4.69886
2013年,65.95,19.61,3.12,0.0,1524.78,127.76,17.48,47.84,15.01,3100.04,13.3,3.81,0.0,31.1,48.33,3.46,15.34,61.81,2.09,52.26,0.36,19.1,6.59,19.41,187.35,40.66,32.95,0.0,80.25,77.07,112.03,113.03,37.99,29.95,1.18,75.79,17.12,98.23,2.43,44.73,45.4,5.36
2014年,95.39,30.5,4.52,0.0,99.82,121.21,13.58,61.87,21.47,2100.22,21.69,2.59,0.0,46.68,36.67,3.77,25.26,63.5,2.1,55.52,0.36,20.99,8.9,30.17,187.76,43.03,42.68,0.0,119.5,108.96,155.85,284.97,29.98,58.91,1.36,73.21,36.39,101.06,2.55,43.58,40.63,3.24
