,专用设备制造业外商及港澳台商投资工业企业固定资产合计,仪器仪表制造业外商及港澳台商投资工业企业固定资产合计,其他制造业外商及港澳台商投资工业企业固定资产合计,其他采矿业外商及港澳台商投资工业企业固定资产合计,农副食品加工业外商及港澳台商投资工业企业固定资产合计,化学原料和化学制品制造业外商及港澳台商投资工业企业固定资产合计,化学纤维制造业外商及港澳台商投资工业企业固定资产合计,医药制造业外商及港澳台商投资工业企业固定资产合计,印刷和记录媒介复制业外商及港澳台商投资工业企业固定资产合计,外商及港澳台商投资工业企业固定资产合计,家具制造业外商及港澳台商投资工业企业固定资产合计,废弃资源综合利用业外商及港澳台商投资工业企业固定资产合计,开采辅助活动外商及港澳台商投资工业企业固定资产合计,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业固定资产合计,有色金属冶炼和压延加工业外商及港澳台商投资工业企业固定资产合计,有色金属矿采选业外商及港澳台商投资工业企业固定资产合计,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业固定资产合计,橡胶和塑料制品业外商及港澳台商投资工业企业固定资产合计,水的生产和供应业外商及港澳台商投资工业企业固定资产合计,汽车制造业外商及港澳台商投资工业企业固定资产合计,烟草制品业外商及港澳台商投资工业企业固定资产合计,煤炭开采和洗选业外商及港澳台商投资工业企业固定资产合计,燃气生产和供应业外商及港澳台商投资工业企业固定资产合计,电力、热力生产和供应业外商及港澳台商投资工业企业固定资产合计,电气机械和器材制造业外商及港澳台商投资工业企业固定资产合计,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业固定资产合计,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业固定资产合计,石油和天然气开采业外商及港澳台商投资工业企业固定资产合计,纺织业外商及港澳台商投资工业企业固定资产合计,纺织服装、服饰业外商及港澳台商投资工业企业固定资产合计,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业固定资产合计,通用设备制造业外商及港澳台商投资工业企业固定资产合计,造纸和纸制品业外商及港澳台商投资工业企业固定资产合计,酒、饮料和精制茶制造业外商及港澳台商投资工业企业固定资产合计,金属制品、机械和设备修理业外商及港澳台商投资工业企业固定资产合计,金属制品业外商及港澳台商投资工业企业固定资产合计,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业固定资产合计,非金属矿物制品业外商及港澳台商投资工业企业固定资产合计,非金属矿采选业外商及港澳台商投资工业企业固定资产合计,食品制造业外商及港澳台商投资工业企业固定资产合计,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业固定资产合计,黑色金属矿采选业外商及港澳台商投资工业企业固定资产合计
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1483.05602,377.51828,112.81078,0.0,1550.33629,5253.44136,711.70479,1104.88356,318.23982,54323.91,305.44108,51.42751,82.88882,473.45357,1342.00841,71.14828,190.45131,1988.54132,501.52185,4275.18901,0.78957,576.96912,758.49828,4141.42644,2770.52765,615.44529,974.91715,333.59124,1605.00863,954.03052,7357.92152,2136.50285,1932.2994,1240.98224,161.6924,1359.04869,977.32297,2469.71541,37.22462,1118.78604,2543.5625,63.58874
2013年,1549.97,395.34,119.75,0.0,1506.27,5624.52,752.54,1278.8,345.21,58757.77,306.94,55.47,86.7,550.17,1528.69,75.67,199.13,2080.53,592.36,4826.2,0.9,673.58,1008.44,4366.22,2882.64,607.46,991.48,342.84,1503.26,1000.03,8557.96,2327.64,2067.82,1359.61,167.54,1401.67,990.5,2554.82,42.92,1228.32,2722.0,85.85
2014年,1878.87,406.95,125.17,0.0,1700.21,6330.39,765.48,1381.33,356.53,60665.41,328.2,59.5,79.46,562.79,1537.49,133.38,210.31,2094.82,509.17,5634.56,1.01,538.04,1051.09,4360.34,2821.44,633.9,1157.6,342.12,1449.59,1017.68,8446.41,2412.48,2064.83,1473.91,154.82,1493.05,919.99,2518.07,45.21,1270.56,2314.79,83.89
