,专用设备制造业外商及港澳台商投资工业企业财务费用,仪器仪表制造业外商及港澳台商投资工业企业财务费用,其他制造业外商及港澳台商投资工业企业财务费用,其他采矿业外商及港澳台商投资工业企业财务费用,农副食品加工业外商及港澳台商投资工业企业财务费用,化学原料和化学制品制造业外商及港澳台商投资工业企业财务费用,化学纤维制造业外商及港澳台商投资工业企业财务费用,医药制造业外商及港澳台商投资工业企业财务费用,印刷和记录媒介复制业外商及港澳台商投资工业企业财务费用,外商及港澳台商投资工业企业财务费用,家具制造业外商及港澳台商投资工业企业财务费用,废弃资源综合利用业外商及港澳台商投资工业企业财务费用,开采辅助活动外商及港澳台商投资工业企业财务费用,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业财务费用,有色金属冶炼和压延加工业外商及港澳台商投资工业企业财务费用,有色金属矿采选业外商及港澳台商投资工业企业财务费用,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业财务费用,橡胶和塑料制品业外商及港澳台商投资工业企业财务费用,水的生产和供应业外商及港澳台商投资工业企业财务费用,汽车制造业外商及港澳台商投资工业企业财务费用,烟草制品业外商及港澳台商投资工业企业财务费用,煤炭开采和洗选业外商及港澳台商投资工业企业财务费用,燃气生产和供应业外商及港澳台商投资工业企业财务费用,电力、热力生产和供应业外商及港澳台商投资工业企业财务费用,电气机械和器材制造业外商及港澳台商投资工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业财务费用,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业财务费用,石油和天然气开采业外商及港澳台商投资工业企业财务费用,纺织业外商及港澳台商投资工业企业财务费用,纺织服装、服饰业外商及港澳台商投资工业企业财务费用,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业财务费用,通用设备制造业外商及港澳台商投资工业企业财务费用,造纸和纸制品业外商及港澳台商投资工业企业财务费用,酒、饮料和精制茶制造业外商及港澳台商投资工业企业财务费用,金属制品、机械和设备修理业外商及港澳台商投资工业企业财务费用,金属制品业外商及港澳台商投资工业企业财务费用,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业财务费用,非金属矿物制品业外商及港澳台商投资工业企业财务费用,非金属矿采选业外商及港澳台商投资工业企业财务费用,食品制造业外商及港澳台商投资工业企业财务费用,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业财务费用,黑色金属矿采选业外商及港澳台商投资工业企业财务费用
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,58.28589,9.32065,4.30981,,69.95906,175.7381,37.39823,37.117,6.50689,1709.74,12.06615,7.24219,0.59555,25.36751,82.40755,1.93903,9.9953,69.48985,18.41998,52.00144,0.01012,26.42243,11.31499,153.04035,129.61655,32.928,51.7513,7.62566,70.25746,44.52645,66.69483,52.72161,81.14636,17.00264,5.45066,48.27093,15.55601,78.61776,1.89323,11.71437,123.37735,1.64397
2013年,53.67,10.3,5.77,0.0,47.84,127.88,30.17,36.94,8.96,1443.03,16.34,2.54,0.68,30.77,83.17,1.6,10.71,57.33,15.84,12.01,0.01,36.41,12.28,144.78,131.39,32.32,32.91,6.83,70.75,48.23,14.6,41.02,61.14,11.18,4.52,49.08,12.43,65.79,2.08,7.33,104.53,0.88
2014年,49.41,5.97,4.73,0.0,65.26,194.68,38.15,42.04,7.36,1562.75,12.83,3.63,0.71,27.6,104.74,4.58,12.05,56.24,17.86,13.38,0.01,31.45,14.67,143.04,111.17,30.16,53.67,8.37,66.34,39.0,3.03,45.87,75.73,15.4,6.07,42.98,18.5,74.67,2.5,12.66,105.44,0.82
