,专用设备制造业外商及港澳台商投资工业企业集体资本金,仪器仪表制造业外商及港澳台商投资工业企业集体资本金,其他制造业外商及港澳台商投资工业企业集体资本金,其他采矿业外商及港澳台商投资工业企业集体资本金,农副食品加工业外商及港澳台商投资工业企业集体资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业集体资本金,化学纤维制造业外商及港澳台商投资工业企业集体资本金,医药制造业外商及港澳台商投资工业企业集体资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业集体资本金,外商及港澳台商投资工业企业集体资本金,家具制造业外商及港澳台商投资工业企业集体资本金,废弃资源综合利用业外商及港澳台商投资工业企业集体资本金,开采辅助活动外商及港澳台商投资工业企业集体资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业集体资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业集体资本金,有色金属矿采选业外商及港澳台商投资工业企业集体资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业集体资本金,橡胶和塑料制品业外商及港澳台商投资工业企业集体资本金,水的生产和供应业外商及港澳台商投资工业企业集体资本金,汽车制造业外商及港澳台商投资工业企业集体资本金,烟草制品业外商及港澳台商投资工业企业集体资本金,煤炭开采和洗选业外商及港澳台商投资工业企业集体资本金,燃气生产和供应业外商及港澳台商投资工业企业集体资本金,电力、热力生产和供应业外商及港澳台商投资工业企业集体资本金,电气机械和器材制造业外商及港澳台商投资工业企业集体资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业集体资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业集体资本金,石油和天然气开采业外商及港澳台商投资工业企业集体资本金,纺织业外商及港澳台商投资工业企业集体资本金,纺织服装、服饰业外商及港澳台商投资工业企业集体资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业集体资本金,通用设备制造业外商及港澳台商投资工业企业集体资本金,造纸和纸制品业外商及港澳台商投资工业企业集体资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业集体资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业集体资本金,金属制品业外商及港澳台商投资工业企业集体资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业集体资本金,非金属矿物制品业外商及港澳台商投资工业企业集体资本金,非金属矿采选业外商及港澳台商投资工业企业集体资本金,食品制造业外商及港澳台商投资工业企业集体资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业集体资本金,黑色金属矿采选业外商及港澳台商投资工业企业集体资本金
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,4.40024,4.11152,0.05743,0.0,18.85798,18.0067,2.91688,12.57644,5.19048,303.79,1.98125,5.06968,0.0,6.43405,11.7116,3.50146,2.28514,8.12769,1.44679,16.25457,0.0,5.6195,8.7983,14.04175,48.40197,4.46868,2.17929,0.0,11.08808,4.73363,15.86573,11.86501,3.99538,6.7183,5.53115,6.38061,2.75402,12.60171,0.0,8.74129,7.06407,0.00722
2013年,11.56,2.24,1.39,0.0,18.81,14.37,4.96,6.3,5.48,368.86,3.12,0.56,0.19,4.53,7.9,1.3,1.54,11.39,0.61,10.98,0.0,5.18,12.02,18.19,45.9,6.15,11.74,0.0,13.17,5.27,10.45,36.08,15.3,12.53,5.33,8.71,2.97,21.3,0.02,17.64,13.63,0.0
2014年,26.85,2.07,0.02,0.0,23.25,21.16,6.47,8.68,5.29,379.66,2.69,5.68,0.0,4.67,14.47,0.22,0.48,14.9,0.61,15.85,0.0,5.72,11.54,14.67,38.47,4.16,12.53,0.0,11.15,5.08,13.36,13.9,17.54,13.45,5.23,12.41,4.95,16.75,0.32,20.94,4.14,0.0
