,专用设备制造业外商及港澳台商投资工业企业港澳台资本金,仪器仪表制造业外商及港澳台商投资工业企业港澳台资本金,其他制造业外商及港澳台商投资工业企业港澳台资本金,其他采矿业外商及港澳台商投资工业企业港澳台资本金,农副食品加工业外商及港澳台商投资工业企业港澳台资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业港澳台资本金,化学纤维制造业外商及港澳台商投资工业企业港澳台资本金,医药制造业外商及港澳台商投资工业企业港澳台资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业港澳台资本金,外商及港澳台商投资工业企业港澳台资本金,家具制造业外商及港澳台商投资工业企业港澳台资本金,废弃资源综合利用业外商及港澳台商投资工业企业港澳台资本金,开采辅助活动外商及港澳台商投资工业企业港澳台资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业港澳台资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业港澳台资本金,有色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业港澳台资本金,橡胶和塑料制品业外商及港澳台商投资工业企业港澳台资本金,水的生产和供应业外商及港澳台商投资工业企业港澳台资本金,汽车制造业外商及港澳台商投资工业企业港澳台资本金,烟草制品业外商及港澳台商投资工业企业港澳台资本金,煤炭开采和洗选业外商及港澳台商投资工业企业港澳台资本金,燃气生产和供应业外商及港澳台商投资工业企业港澳台资本金,电力、热力生产和供应业外商及港澳台商投资工业企业港澳台资本金,电气机械和器材制造业外商及港澳台商投资工业企业港澳台资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业港澳台资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业港澳台资本金,石油和天然气开采业外商及港澳台商投资工业企业港澳台资本金,纺织业外商及港澳台商投资工业企业港澳台资本金,纺织服装、服饰业外商及港澳台商投资工业企业港澳台资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业港澳台资本金,通用设备制造业外商及港澳台商投资工业企业港澳台资本金,造纸和纸制品业外商及港澳台商投资工业企业港澳台资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业港澳台资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业港澳台资本金,金属制品业外商及港澳台商投资工业企业港澳台资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业港澳台资本金,非金属矿物制品业外商及港澳台商投资工业企业港澳台资本金,非金属矿采选业外商及港澳台商投资工业企业港澳台资本金,食品制造业外商及港澳台商投资工业企业港澳台资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业港澳台资本金,黑色金属矿采选业外商及港澳台商投资工业企业港澳台资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
