,专用设备制造业外商及港澳台商投资工业企业营业利润,仪器仪表制造业外商及港澳台商投资工业企业营业利润,其他制造业外商及港澳台商投资工业企业营业利润,其他采矿业外商及港澳台商投资工业企业营业利润,农副食品加工业外商及港澳台商投资工业企业营业利润,化学原料和化学制品制造业外商及港澳台商投资工业企业营业利润,化学纤维制造业外商及港澳台商投资工业企业营业利润,医药制造业外商及港澳台商投资工业企业营业利润,印刷和记录媒介复制业外商及港澳台商投资工业企业营业利润,外商及港澳台商投资工业企业营业利润,家具制造业外商及港澳台商投资工业企业营业利润,废弃资源综合利用业外商及港澳台商投资工业企业营业利润,开采辅助活动外商及港澳台商投资工业企业营业利润,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业营业利润,有色金属冶炼和压延加工业外商及港澳台商投资工业企业营业利润,有色金属矿采选业外商及港澳台商投资工业企业营业利润,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业营业利润,橡胶和塑料制品业外商及港澳台商投资工业企业营业利润,水的生产和供应业外商及港澳台商投资工业企业营业利润,汽车制造业外商及港澳台商投资工业企业营业利润,烟草制品业外商及港澳台商投资工业企业营业利润,煤炭开采和洗选业外商及港澳台商投资工业企业营业利润,燃气生产和供应业外商及港澳台商投资工业企业营业利润,电力、热力生产和供应业外商及港澳台商投资工业企业营业利润,电气机械和器材制造业外商及港澳台商投资工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业营业利润,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业营业利润,石油和天然气开采业外商及港澳台商投资工业企业营业利润,纺织业外商及港澳台商投资工业企业营业利润,纺织服装、服饰业外商及港澳台商投资工业企业营业利润,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业营业利润,通用设备制造业外商及港澳台商投资工业企业营业利润,造纸和纸制品业外商及港澳台商投资工业企业营业利润,酒、饮料和精制茶制造业外商及港澳台商投资工业企业营业利润,金属制品、机械和设备修理业外商及港澳台商投资工业企业营业利润,金属制品业外商及港澳台商投资工业企业营业利润,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业营业利润,非金属矿物制品业外商及港澳台商投资工业企业营业利润,非金属矿采选业外商及港澳台商投资工业企业营业利润,食品制造业外商及港澳台商投资工业企业营业利润,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业营业利润,黑色金属矿采选业外商及港澳台商投资工业企业营业利润
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,429.07977,179.03427,30.28532,0.0,596.78311,1009.06421,100.60638,469.96531,100.11732,13985.94,86.76738,13.51532,13.50687,190.81202,257.50964,36.23483,53.1832,332.6216,33.29728,2266.21869,0.5094,286.21803,159.61125,297.15219,855.85189,303.85077,20.8447,261.27054,298.28219,375.57961,2004.7536,724.78338,207.07296,304.56151,2.58433,356.57349,249.39889,344.52717,9.76134,497.73253,183.87054,42.54693
2013年,471.48,197.21,28.3,0.0,546.92,1091.02,106.19,501.08,112.18,15732.07,99.21,12.96,15.54,212.67,256.01,29.95,57.41,427.68,41.52,2841.89,0.87,240.43,191.47,518.54,944.61,296.67,96.85,222.43,357.26,368.04,2268.71,793.16,222.89,343.72,4.61,371.09,228.05,412.09,9.92,540.97,219.18,31.29
2014年,477.72,215.79,32.28,0.0,444.25,1059.73,103.94,575.45,124.11,16294.65,103.8,5.26,15.15,225.05,220.66,18.84,56.08,365.32,50.32,3278.99,0.8,189.83,215.52,612.88,1010.55,307.05,39.78,238.83,336.6,373.84,2350.29,904.71,185.79,340.53,4.82,351.92,285.65,425.12,8.32,514.47,209.62,15.01
