,专用设备制造业外商及港澳台商投资工业企业国家资本金,仪器仪表制造业外商及港澳台商投资工业企业国家资本金,其他制造业外商及港澳台商投资工业企业国家资本金,其他采矿业外商及港澳台商投资工业企业国家资本金,农副食品加工业外商及港澳台商投资工业企业国家资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业国家资本金,化学纤维制造业外商及港澳台商投资工业企业国家资本金,医药制造业外商及港澳台商投资工业企业国家资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业国家资本金,外商及港澳台商投资工业企业国家资本金,家具制造业外商及港澳台商投资工业企业国家资本金,废弃资源综合利用业外商及港澳台商投资工业企业国家资本金,开采辅助活动外商及港澳台商投资工业企业国家资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业国家资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业国家资本金,有色金属矿采选业外商及港澳台商投资工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业国家资本金,橡胶和塑料制品业外商及港澳台商投资工业企业国家资本金,水的生产和供应业外商及港澳台商投资工业企业国家资本金,汽车制造业外商及港澳台商投资工业企业国家资本金,烟草制品业外商及港澳台商投资工业企业国家资本金,煤炭开采和洗选业外商及港澳台商投资工业企业国家资本金,燃气生产和供应业外商及港澳台商投资工业企业国家资本金,电力、热力生产和供应业外商及港澳台商投资工业企业国家资本金,电气机械和器材制造业外商及港澳台商投资工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业国家资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业国家资本金,石油和天然气开采业外商及港澳台商投资工业企业国家资本金,纺织业外商及港澳台商投资工业企业国家资本金,纺织服装、服饰业外商及港澳台商投资工业企业国家资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业国家资本金,通用设备制造业外商及港澳台商投资工业企业国家资本金,造纸和纸制品业外商及港澳台商投资工业企业国家资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业国家资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业国家资本金,金属制品业外商及港澳台商投资工业企业国家资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业国家资本金,非金属矿物制品业外商及港澳台商投资工业企业国家资本金,非金属矿采选业外商及港澳台商投资工业企业国家资本金,食品制造业外商及港澳台商投资工业企业国家资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业国家资本金,黑色金属矿采选业外商及港澳台商投资工业企业国家资本金
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,22.06495,6.05139,0.3105,0.0,34.26305,74.73408,26.46108,35.11975,11.88319,1988.19,3.80857,1.26268,0.11013,1.81746,35.31001,9.92272,1.36969,25.2511,68.84591,329.42824,0.0,16.728,54.07598,604.9748,42.78038,0.85736,35.79233,0.0,3.86339,1.65591,205.3945,50.40489,14.86703,16.87993,30.74769,31.94807,24.2653,60.97,1.35721,6.81232,95.64396,0.1535
2013年,34.55,9.45,0.21,0.0,40.06,169.35,31.33,46.19,9.35,2507.52,3.63,1.47,0.19,10.9,58.23,9.05,3.74,16.44,72.9,380.96,0.0,20.77,79.53,761.5,61.13,0.54,39.1,5.59,7.37,3.62,201.29,73.67,70.22,21.5,14.17,34.16,45.54,74.57,3.52,8.04,80.63,3.03
2014年,62.01,6.29,1.6,0.0,57.31,234.66,13.67,38.23,9.12,2711.56,4.6,0.94,0.0,1.44,54.2,16.94,4.11,24.66,73.94,446.33,0.0,16.71,97.21,748.36,50.29,1.29,8.99,0.0,4.58,3.35,259.76,90.47,50.52,25.37,24.87,25.98,45.9,78.63,1.99,12.09,114.87,0.27
