,房地产业、租赁和商务服务业总投入,房地产业、租赁和商务服务业部门生产1单位总产出对中间投入产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对其他制造业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对其他服务业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对劳动者报酬产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对化学工业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对固定资产折旧产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对增加值产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对建筑业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对机械设备制造业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对生产税净额产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对营业盈余产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对采矿业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对金属产品制造业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对金融业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,房地产业、租赁和商务服务业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,1.0,0.392801160342,0.0444800966903,0.0208463066069,0.000783229511919,0.100022176427,0.0207689827902,0.27280554295,0.607198839658,0.00711463608482,0.0409700999732,0.045556583831,0.0972515524669,0.0183847567125,0.0861705113847,0.00656605081917,0.0123297754559,0.148200608897,0.0246369231368,0.000512735099481,0.0150137753654,0.0315633489402,0.000306085361394,0.00571622149593
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,1.0,0.410980472876,0.0456576247463,0.0221963943045,0.00103304152853,0.127643240222,0.0246420868699,0.250519364501,0.589019527124,0.0116653011321,0.0525477379161,0.049049809819,0.0659126239853,0.0208604998575,0.089353326086,0.00830152432787,0.013832113578,0.121503596315,0.0310025540236,0.000709407178622,0.0127276958116,0.0438932432357,0.000393639428979,0.00655517513249
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1.0,0.443563027468,0.0472854089398,0.0128303017622,0.00329260815917,0.123242477496,0.00980607007386,0.236684328996,0.556436972532,0.0141284300181,0.0692820902919,0.0421693511587,0.0621420029827,0.0288127955401,0.0866942569464,0.00400529055305,0.00759833613815,0.109815909094,0.030987302049,5.2172390124e-05,0.0138546154562,0.0884481180339,0.000296428783402,0.00857170513732
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
