,非金属矿物制品业总投入,非金属矿物制品业部门生产1单位总产出对中间投入产品的消耗量,非金属矿物制品业部门生产1单位总产出对其他制造业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对其他服务业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对劳动者报酬产品的消耗量,非金属矿物制品业部门生产1单位总产出对化学工业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对固定资产折旧产品的消耗量,非金属矿物制品业部门生产1单位总产出对增加值产品的消耗量,非金属矿物制品业部门生产1单位总产出对建筑业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对机械设备制造业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对生产税净额产品的消耗量,非金属矿物制品业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对营业盈余产品的消耗量,非金属矿物制品业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对采矿业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对金属产品制造业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对金融业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,非金属矿物制品业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,1.0,0.725292552956,0.0480747260901,0.0109502796924,0.000380901262727,0.0962777377965,0.076149834428,0.0359219716924,0.274707447044,0.000294780032006,0.00689901088158,0.0274414337886,0.0416007939958,0.0315191416747,0.0592847987179,0.0643970583581,0.00474193071815,0.0832229388368,0.0414622690627,0.126775499699,0.0523001528017,0.0230029433564,0.165930104447,0.00337169266692
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,1.0,0.780516875276,0.047407299317,0.0106408794978,0.000470158039309,0.0775881602738,0.0757572601744,0.0301413546706,0.219483124724,0.000335179353726,0.00851279827361,0.0306940668635,0.0413829005167,0.0419876203299,0.042248995814,0.0622449326958,0.0047826899445,0.0695046139656,0.0473265532659,0.132971429892,0.0555241679835,0.025916059543,0.19103763673,0.00352524285501
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1.0,0.74737027841,0.0256969506397,0.0109727060142,0.000375629920713,0.100377529778,0.0783999837776,0.0413695925902,0.25262972159,0.00193216817163,0.0116917476392,0.0272809213776,0.0372226332161,0.0381273416815,0.0537702279723,0.0578274358425,0.00852713879745,0.0571123712498,0.0422125009821,0.128678673413,0.0508345502381,0.0246089214002,0.198429770435,0.00455120486358
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
