,纺织、服装及皮革产品制造业总投入,纺织、服装及皮革产品制造业部门生产1单位总产出对中间投入产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对其他制造业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对其他服务业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对劳动者报酬产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对化学工业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对固定资产折旧产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对增加值产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对建筑业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对机械设备制造业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对生产税净额产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对营业盈余产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对采矿业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对金属产品制造业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对金融业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,纺织、服装及皮革产品制造业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.793245634702,0.0164334112416,0.00696951164951,0.101900350264,0.0864618886804,0.0941771885728,0.0195555816399,0.206754365298,0.000227515702664,0.0137025963039,0.0190389334806,0.0159058363469,0.00493320625671,0.0440492199269,0.016531424866,0.434754017478,0.056687675051,0.0216403536511,0.00430568501455,0.00382593814938,0.0120549505735,0.00187684657316,0.0249678685779
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.800030721958,0.016410324619,0.00675758606198,0.11058027761,0.104811224621,0.0873358321669,0.0206247947564,0.199969278042,0.000245418239399,0.0162199290114,0.0196270506058,0.0150912979731,0.00403551103474,0.0351126279217,0.0149355596095,0.436038394129,0.0394206307428,0.0241535862952,0.00377229929948,0.00384727642655,0.013440850948,0.00191240032892,0.0256271275996
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.799655342603,0.00912056968442,0.0055472205354,0.110875840203,0.102398388711,0.0842548261379,0.0204212881995,0.200344657397,0.000993035192354,0.00726476794617,0.0552193260324,0.00732505804877,0.00144148005716,0.0267706864769,0.0144256641225,0.445765787606,0.0507542940098,0.021810155642,0.00242278485119,0.00165966979864,0.0105911045923,0.000743552832859,0.0201944993202
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
