,金融业总投入,金融业部门生产1单位总产出对中间投入产品的消耗量,金融业部门生产1单位总产出对其他制造业部门产品的消耗量,金融业部门生产1单位总产出对其他服务业部门产品的消耗量,金融业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,金融业部门生产1单位总产出对劳动者报酬产品的消耗量,金融业部门生产1单位总产出对化学工业部门产品的消耗量,金融业部门生产1单位总产出对固定资产折旧产品的消耗量,金融业部门生产1单位总产出对增加值产品的消耗量,金融业部门生产1单位总产出对建筑业部门产品的消耗量,金融业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,金融业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,金融业部门生产1单位总产出对机械设备制造业部门产品的消耗量,金融业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,金融业部门生产1单位总产出对生产税净额产品的消耗量,金融业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,金融业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,金融业部门生产1单位总产出对营业盈余产品的消耗量,金融业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,金融业部门生产1单位总产出对采矿业部门产品的消耗量,金融业部门生产1单位总产出对金属产品制造业部门产品的消耗量,金融业部门生产1单位总产出对金融业部门产品的消耗量,金融业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,金融业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.310545305129,0.0272657313751,0.021032352617,,0.179085764334,0.00282617981752,0.00994952411307,0.689454694871,0.00127425197503,0.0709291837618,0.0416466451497,0.0121869827396,0.00628556439957,0.0778228381035,0.00929262149607,0.00231976113059,0.42259656832,0.0483996928096,,0.000660035408756,0.0641935805279,0.000149531296944,0.0020831906237
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.350174848743,0.0211693187499,0.0158014799226,,0.206308049821,0.00338426871769,0.0152357932189,0.649825151257,0.00144393309122,0.0929046213019,0.0410543929043,0.0137778767465,0.00630580456794,0.0791400247438,0.00992869241698,0.0027721693788,0.349141283473,0.0575191847418,,0.000902065793046,0.0802559810841,0.000160205024464,0.00279485430211
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.403739200759,0.0332945406202,0.026117127657,1.0913715943e-05,0.186802664778,0.000875169461365,0.0154208358081,0.596260799241,0.00859336569441,0.155017228014,0.0467835730928,0.00490785029321,0.00418281578673,0.0666180892091,0.00599874888528,0.00566332079716,0.327419209446,0.0476091944936,,0.000134893794613,0.0618238903816,8.62001494e-05,0.00264036792179
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
