,批发零售贸易、住宿和餐饮业总投入,批发零售贸易、住宿和餐饮业部门生产1单位总产出对中间投入产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对其他制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对其他服务业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对劳动者报酬产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对化学工业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对固定资产折旧产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对增加值产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对建筑业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对机械设备制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对生产税净额产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对营业盈余产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对采矿业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对金属产品制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对金融业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,1.0,0.475367255635,0.0174337464299,0.0256693636547,0.0408877857558,0.131197194723,0.0104828566623,0.0404159230644,0.524632744365,0.00292342355978,0.0655105756634,0.0322450171774,0.0286045069294,0.00612703068443,0.110435873465,0.0203584091542,0.0110928627072,0.242583753113,0.0731325770043,0.00126586176198,0.00131592952219,0.0322502003183,0.000800785208479,0.105266323441
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,1.0,0.402987183643,0.00912196722725,0.0167914735116,0.0386528573848,0.20523279858,0.00822747541933,0.0470804607682,0.597012816357,0.002385645875,0.052149983823,0.0245772887939,0.0178323890032,0.00373813535457,0.143015503712,0.0166465901072,0.00918950533765,0.201684053297,0.055318025322,0.00041337641218,0.000963659117526,0.0269867593604,0.000854344844464,0.119137706749
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1.0,0.378280049666,0.00926515729111,0.0120731604123,0.0272348196435,0.221796456437,0.00369983818179,0.0404310377365,0.621719950334,0.0029067454168,0.107044850842,0.0405831030319,0.0134631385387,0.00374204117581,0.179772919215,0.010584223974,0.0033545334001,0.179719536945,0.0339485329615,4.1108726229e-05,0.00041095116283,0.0330824864385,0.000155288039274,0.0766900704297
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
