,批发零售贸易、住宿和餐饮业总投入,批发零售贸易、住宿和餐饮业部门生产1单位总产出对中间投入产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对其他制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对其他服务业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对劳动者报酬产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对化学工业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对固定资产折旧产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对增加值产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对建筑业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对机械设备制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对生产税净额产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对营业盈余产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对采矿业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对金属产品制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对金融业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
