,运输仓储邮政、信息传输、计算机服务和软件业总投入,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对中间投入产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对其他制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对其他服务业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对劳动者报酬产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对化学工业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对固定资产折旧产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对增加值产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对建筑业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对机械设备制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对生产税净额产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对营业盈余产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对采矿业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对金属产品制造业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对金融业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,运输仓储邮政、信息传输、计算机服务和软件业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,1.0,0.505343496489,0.00966874412305,0.0234163035968,0.0089432199974,0.122419735967,0.0108218449004,0.126008866781,0.494656503511,0.0032249959677,0.0196249608873,0.0285229567097,0.109011145442,0.140968442293,0.0416148614302,0.0146988785516,0.00618387842137,0.204613039333,0.0727628649097,0.00356957924146,0.00574500997608,0.0406262194853,0.00131238722404,0.00624206476168
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,1.0,0.57186956444,0.0133534403841,0.0259504962392,0.017332966206,0.157416106909,0.0141930194452,0.0867563399802,0.42813043556,0.00436921636637,0.0281110817673,0.035586527095,0.114584668278,0.136400091501,0.0342222184308,0.0169624395499,0.00680796852975,0.14973577024,0.0898982015003,0.00361840713074,0.00830945747441,0.0483336359732,0.00167394285392,0.00638400414521
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1.0,0.600993430665,0.014021629277,0.0231925393379,0.00972959389981,0.168853769753,0.01133510385,0.0919417096708,0.399006569335,0.00685997969671,0.0308638196242,0.0343384950332,0.108159215543,0.112370209127,0.0143381525752,0.0110155548543,0.00329704273807,0.123872937337,0.147003802861,0.000665862127952,0.00507193768134,0.0706389972982,0.00110239969227,0.0113272480223
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
