,金属产品制造业总投入,金属产品制造业部门生产1单位总产出对中间投入产品的消耗量,金属产品制造业部门生产1单位总产出对其他制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对其他服务业部门产品的消耗量,金属产品制造业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,金属产品制造业部门生产1单位总产出对劳动者报酬产品的消耗量,金属产品制造业部门生产1单位总产出对化学工业部门产品的消耗量,金属产品制造业部门生产1单位总产出对固定资产折旧产品的消耗量,金属产品制造业部门生产1单位总产出对增加值产品的消耗量,金属产品制造业部门生产1单位总产出对建筑业部门产品的消耗量,金属产品制造业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,金属产品制造业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,金属产品制造业部门生产1单位总产出对机械设备制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,金属产品制造业部门生产1单位总产出对生产税净额产品的消耗量,金属产品制造业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,金属产品制造业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对营业盈余产品的消耗量,金属产品制造业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,金属产品制造业部门生产1单位总产出对采矿业部门产品的消耗量,金属产品制造业部门生产1单位总产出对金属产品制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对金融业部门产品的消耗量,金属产品制造业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,金属产品制造业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.80183506822,0.0439601120437,0.00880120974618,9.2392827626e-05,0.0554750650952,0.0189580158606,0.0271452049618,0.19816493178,0.000261189458514,0.00260977147923,0.0211825843353,0.0494199192482,0.0390362948763,0.0491751689143,0.0477782441111,0.0027196083068,0.0663694928087,0.0283441912755,0.134020500153,0.377187454316,0.0114280384455,0.0128781290132,0.00315741272311
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.819855763559,0.0376680827988,0.00897745539478,0.000117380794353,0.0674604481221,0.0195273940842,0.0348048045146,0.180144236441,0.000285038197571,0.00322093907028,0.0231374424818,0.0508791735874,0.0357722410988,0.0314499546688,0.0528200154362,0.00284838445331,0.0464290291353,0.0283962651531,0.184300869439,0.336292085917,0.0130614176447,0.0192855106837,0.00326606732455
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.815678025433,0.0405650666593,0.0101837321364,0.000194740174583,0.0632868195809,0.0237773671336,0.0332757751367,0.184321974567,0.00121684078666,0.00660744212782,0.0143878499819,0.0289660062753,0.0376578629901,0.0298106842237,0.0434699725693,0.00220034721852,0.0579486956256,0.0243664615854,0.149394432233,0.38648617351,0.0273474630408,0.0148449013715,0.00401136563941
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
