,建筑业总投入,建筑业部门生产1单位总产出对中间投入产品的消耗量,建筑业部门生产1单位总产出对其他制造业部门产品的消耗量,建筑业部门生产1单位总产出对其他服务业部门产品的消耗量,建筑业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,建筑业部门生产1单位总产出对劳动者报酬产品的消耗量,建筑业部门生产1单位总产出对化学工业部门产品的消耗量,建筑业部门生产1单位总产出对固定资产折旧产品的消耗量,建筑业部门生产1单位总产出对增加值产品的消耗量,建筑业部门生产1单位总产出对建筑业部门产品的消耗量,建筑业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,建筑业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,建筑业部门生产1单位总产出对机械设备制造业部门产品的消耗量,建筑业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,建筑业部门生产1单位总产出对生产税净额产品的消耗量,建筑业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,建筑业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,建筑业部门生产1单位总产出对营业盈余产品的消耗量,建筑业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,建筑业部门生产1单位总产出对采矿业部门产品的消耗量,建筑业部门生产1单位总产出对金属产品制造业部门产品的消耗量,建筑业部门生产1单位总产出对金融业部门产品的消耗量,建筑业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,建筑业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.76860571169,0.0221688570454,0.0147068200612,0.00413413484123,0.118066259462,0.0391382401775,0.0123671345491,0.23139428831,0.00953474868533,0.00405566901133,0.032249240614,0.0817546236475,0.0203085710474,0.0287040423731,0.013559232575,0.00427522440669,0.0722568519256,0.0905071609373,0.0142152915828,0.192731564941,0.00875517250567,0.212606910882,0.00390424872893
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.739494628814,0.0224098635393,0.0156860622836,0.00438896685281,0.148368177993,0.0308160216221,0.0144141128445,0.260505371186,0.0105958378282,0.00418213887964,0.0345661938953,0.0760755109331,0.0128775721074,0.0412030212522,0.0078187634726,0.0046452711894,0.0565200590967,0.107741868524,0.0108840625797,0.157013698884,0.00945083868259,0.226353924931,0.00398803260888
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.734477378074,0.0270908358668,0.0426791028379,0.00788576391284,0.162046744262,0.0437606511179,0.0118743073127,0.265522621926,0.0269464276856,0.00683971753792,0.0244547533597,0.050941295521,0.0126846089855,0.0369480739178,0.0136856944339,0.00438479877024,0.0546534964333,0.0426033825674,0.00585661611522,0.199817124982,0.0278193064104,0.194522994953,0.00250430301708
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
