,化学工业总投入,化学工业部门生产1单位总产出对中间投入产品的消耗量,化学工业部门生产1单位总产出对其他制造业部门产品的消耗量,化学工业部门生产1单位总产出对其他服务业部门产品的消耗量,化学工业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,化学工业部门生产1单位总产出对劳动者报酬产品的消耗量,化学工业部门生产1单位总产出对化学工业部门产品的消耗量,化学工业部门生产1单位总产出对固定资产折旧产品的消耗量,化学工业部门生产1单位总产出对增加值产品的消耗量,化学工业部门生产1单位总产出对建筑业部门产品的消耗量,化学工业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,化学工业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,化学工业部门生产1单位总产出对机械设备制造业部门产品的消耗量,化学工业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,化学工业部门生产1单位总产出对生产税净额产品的消耗量,化学工业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,化学工业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,化学工业部门生产1单位总产出对营业盈余产品的消耗量,化学工业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,化学工业部门生产1单位总产出对采矿业部门产品的消耗量,化学工业部门生产1单位总产出对金属产品制造业部门产品的消耗量,化学工业部门生产1单位总产出对金融业部门产品的消耗量,化学工业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,化学工业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.796883825843,0.0211175972093,0.0108119614668,0.026895702905,0.0609802204994,0.416431768164,0.0289207924001,0.203116174157,0.000333844929298,0.0128950292295,0.0216167347187,0.0260782111274,0.0657807551047,0.03902229084,0.0488220570323,0.00949875204439,0.0741928704172,0.0282830335722,0.0559095402795,0.0176612737033,0.013082907397,0.00688952974588,0.0147751272138
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.80638265433,0.0226441165368,0.0124826024485,0.0319317357294,0.0689357590393,0.410212604319,0.0295054076211,0.19361734567,0.000377137894139,0.0162913604222,0.0237605458784,0.0264870679807,0.0611737128202,0.0380713963075,0.0472852629696,0.00982821576212,0.0571047827025,0.0327827839613,0.052443227878,0.0189509746134,0.0155461155567,0.00805964747353,0.0161255420857
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.8082930619,0.00981691801122,0.0147959698145,0.0365127854878,0.0659416010239,0.432659558312,0.0289196212644,0.1917069381,0.00116769598006,0.0156715026271,0.0333795254052,0.0122414486915,0.0625105760868,0.0319723667095,0.0425525621831,0.0143599996418,0.0648733491026,0.0293807833337,0.0410975918901,0.0135950890816,0.0190907924665,0.00615733452302,0.0233029283633
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
