,其他制造业总投入,其他制造业部门生产1单位总产出对中间投入产品的消耗量,其他制造业部门生产1单位总产出对其他制造业部门产品的消耗量,其他制造业部门生产1单位总产出对其他服务业部门产品的消耗量,其他制造业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,其他制造业部门生产1单位总产出对劳动者报酬产品的消耗量,其他制造业部门生产1单位总产出对化学工业部门产品的消耗量,其他制造业部门生产1单位总产出对固定资产折旧产品的消耗量,其他制造业部门生产1单位总产出对增加值产品的消耗量,其他制造业部门生产1单位总产出对建筑业部门产品的消耗量,其他制造业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,其他制造业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,其他制造业部门生产1单位总产出对机械设备制造业部门产品的消耗量,其他制造业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,其他制造业部门生产1单位总产出对生产税净额产品的消耗量,其他制造业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,其他制造业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,其他制造业部门生产1单位总产出对营业盈余产品的消耗量,其他制造业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,其他制造业部门生产1单位总产出对采矿业部门产品的消耗量,其他制造业部门生产1单位总产出对金属产品制造业部门产品的消耗量,其他制造业部门生产1单位总产出对金融业部门产品的消耗量,其他制造业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,其他制造业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.691753027465,0.276101839269,0.00716739619492,0.0694754314934,0.0826623048975,0.102117453104,0.0243985579715,0.308246972535,0.000194884543174,0.0101944103602,0.0232936423901,0.0296422400328,0.00562882407234,0.0462566035503,0.0213823119016,0.0371961956251,0.154929506115,0.0259834470146,0.00581237233726,0.0535927103174,0.0112523982727,0.00749548157324,0.00522198896367
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.732660613562,0.285763477883,0.00798926703531,0.0769097015352,0.0805939100481,0.102954801031,0.0244826426113,0.267339386438,0.000223900052626,0.0123644114209,0.0262629633818,0.0307159765519,0.00598547564661,0.0369310007145,0.0241284552317,0.039460442722,0.125331833064,0.0307801596748,0.00797330814501,0.0531818774292,0.0137869475641,0.00818209092875,0.0059973573292
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.72710361574,0.285792909272,0.00933939076443,0.0631624603429,0.102369714359,0.103617885188,0.0306733021888,0.27289638426,0.00178026513469,0.0136617549442,0.0329879954089,0.0232904313337,0.00466141001478,0.0377608770993,0.0196070723154,0.0372106733365,0.102092490613,0.0305384431544,0.0086358706121,0.0645223459892,0.018031225045,0.00480286551832,0.00546061736541
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
