,15-19岁育龄妇女第二孩次出生人口数(人口抽样调查),15岁育龄妇女第二孩次出生人口数(人口抽样调查),16岁育龄妇女第二孩次出生人口数(人口抽样调查),17岁育龄妇女第二孩次出生人口数(人口抽样调查),18岁育龄妇女第二孩次出生人口数(人口抽样调查),19岁育龄妇女第二孩次出生人口数(人口抽样调查),20-24岁育龄妇女第二孩次出生人口数(人口抽样调查),20岁育龄妇女第二孩次出生人口数(人口抽样调查),21岁育龄妇女第二孩次出生人口数(人口抽样调查),22岁育龄妇女第二孩次出生人口数(人口抽样调查),23岁育龄妇女第二孩次出生人口数(人口抽样调查),24岁育龄妇女第二孩次出生人口数(人口抽样调查),25-29岁育龄妇女第二孩次出生人口数(人口抽样调查),25岁育龄妇女第二孩次出生人口数(人口抽样调查),26岁育龄妇女第二孩次出生人口数(人口抽样调查),27岁育龄妇女第二孩次出生人口数(人口抽样调查),28岁育龄妇女第二孩次出生人口数(人口抽样调查),29岁育龄妇女第二孩次出生人口数(人口抽样调查),30-34岁育龄妇女第二孩次出生人口数(人口抽样调查),30岁育龄妇女第二孩次出生人口数(人口抽样调查),31岁育龄妇女第二孩次出生人口数(人口抽样调查),32岁育龄妇女第二孩次出生人口数(人口抽样调查),33岁育龄妇女第二孩次出生人口数(人口抽样调查),34岁育龄妇女第二孩次出生人口数(人口抽样调查),35-39岁育龄妇女第二孩次出生人口数(人口抽样调查),35岁育龄妇女第二孩次出生人口数(人口抽样调查),36岁育龄妇女第二孩次出生人口数(人口抽样调查),37岁育龄妇女第二孩次出生人口数(人口抽样调查),38岁育龄妇女第二孩次出生人口数(人口抽样调查),39岁育龄妇女第二孩次出生人口数(人口抽样调查),40-44岁育龄妇女第二孩次出生人口数(人口抽样调查),40岁育龄妇女第二孩次出生人口数(人口抽样调查),41岁育龄妇女第二孩次出生人口数(人口抽样调查),42岁育龄妇女第二孩次出生人口数(人口抽样调查),43岁育龄妇女第二孩次出生人口数(人口抽样调查),44岁育龄妇女第二孩次出生人口数(人口抽样调查),45-49岁育龄妇女第二孩次出生人口数(人口抽样调查),45岁育龄妇女第二孩次出生人口数(人口抽样调查),46岁育龄妇女第二孩次出生人口数(人口抽样调查),47岁育龄妇女第二孩次出生人口数(人口抽样调查),48岁育龄妇女第二孩次出生人口数(人口抽样调查),49岁育龄妇女第二孩次出生人口数(人口抽样调查),第二孩次出生人口数(人口抽样调查)
2003年,9.0,,1.0,1.0,1.0,7.0,373.0,22.0,37.0,63.0,108.0,143.0,1344.0,175.0,224.0,270.0,325.0,351.0,1431.0,347.0,339.0,314.0,249.0,182.0,331.0,130.0,75.0,57.0,42.0,27.0,42.0,22.0,12.0,3.0,2.0,3.0,11.0,2.0,3.0,4.0,1.0,1.0,3541.0
2004年,15.0,1.0,2.0,2.0,3.0,6.0,333.0,15.0,39.0,64.0,94.0,121.0,1314.0,164.0,216.0,266.0,312.0,356.0,1560.0,369.0,369.0,335.0,267.0,220.0,397.0,152.0,102.0,68.0,41.0,33.0,44.0,25.0,10.0,3.0,2.0,3.0,7.0,2.0,,,2.0,2.0,3669.0
2005年,205.0,,5.0,12.0,50.0,137.0,5584.0,368.0,669.0,1056.0,1564.0,1927.0,17693.0,2614.0,3213.0,3434.0,3966.0,4466.0,20404.0,4618.0,4893.0,4347.0,3604.0,2943.0,6177.0,2195.0,1729.0,1073.0,690.0,490.0,749.0,327.0,201.0,120.0,60.0,41.0,185.0,42.0,38.0,34.0,36.0,36.0,50997.0
2006年,16.0,0.0,0.0,1.0,6.0,9.0,312.0,16.0,26.0,51.0,98.0,120.0,1062.0,159.0,195.0,215.0,262.0,232.0,1391.0,307.0,304.0,311.0,260.0,209.0,576.0,174.0,139.0,116.0,92.0,56.0,107.0,40.0,30.0,11.0,16.0,11.0,27.0,6.0,4.0,3.0,6.0,9.0,3492.0
2007年,12.0,,,2.0,3.0,6.0,308.0,14.0,36.0,60.0,80.0,118.0,1102.0,169.0,174.0,237.0,259.0,263.0,1259.0,256.0,270.0,267.0,239.0,226.0,683.0,198.0,152.0,157.0,91.0,84.0,159.0,44.0,43.0,27.0,26.0,19.0,60.0,21.0,11.0,9.0,5.0,15.0,3590.0
2008年,11.0,,,1.0,,10.0,382.0,21.0,65.0,61.0,102.0,133.0,1099.0,157.0,215.0,209.0,256.0,263.0,1160.0,267.0,238.0,239.0,220.0,196.0,625.0,189.0,133.0,107.0,122.0,73.0,190.0,69.0,39.0,23.0,34.0,26.0,84.0,30.0,24.0,9.0,12.0,9.0,3573.0
2009年,22.0,,2.0,2.0,6.0,13.0,362.0,25.0,38.0,67.0,107.0,124.0,1109.0,179.0,205.0,241.0,246.0,238.0,1102.0,242.0,226.0,241.0,193.0,200.0,584.0,173.0,139.0,123.0,83.0,66.0,122.0,45.0,34.0,19.0,16.0,7.0,57.0,15.0,15.0,9.0,11.0,7.0,3363.0
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,17.0,,,2.0,4.0,11.0,458.0,19.0,55.0,96.0,140.0,148.0,1010.0,161.0,186.0,185.0,223.0,255.0,876.0,171.0,194.0,162.0,181.0,168.0,363.0,89.0,80.0,82.0,68.0,43.0,89.0,23.0,32.0,14.0,11.0,9.0,26.0,7.0,5.0,8.0,4.0,2.0,2837.0
2012年,9.0,,,1.0,2.0,6.0,604.0,28.0,50.0,132.0,176.0,218.0,1241.0,225.0,261.0,255.0,254.0,246.0,984.0,268.0,227.0,194.0,172.0,124.0,445.0,102.0,126.0,80.0,84.0,53.0,150.0,61.0,36.0,21.0,20.0,11.0,28.0,3.0,10.0,8.0,1.0,7.0,3462.0
2013年,17.0,,1.0,1.0,4.0,11.0,512.0,25.0,55.0,74.0,156.0,201.0,1347.0,254.0,264.0,315.0,276.0,239.0,985.0,209.0,265.0,196.0,183.0,134.0,418.0,116.0,89.0,81.0,66.0,66.0,122.0,36.0,25.0,22.0,23.0,15.0,29.0,8.0,7.0,11.0,1.0,2.0,3431.0
2014年,28.0,,,3.0,10.0,15.0,812.0,34.0,80.0,117.0,258.0,322.0,1664.0,343.0,370.0,318.0,323.0,310.0,1047.0,262.0,226.0,220.0,175.0,163.0,393.0,132.0,82.0,80.0,49.0,50.0,112.0,38.0,22.0,29.0,12.0,11.0,26.0,8.0,4.0,6.0,5.0,4.0,4082.0
