,15-19岁平均育龄妇女人数(人口抽样调查),15岁平均育龄妇女人数(人口抽样调查),16岁平均育龄妇女人数(人口抽样调查),17岁平均育龄妇女人数(人口抽样调查),18岁平均育龄妇女人数(人口抽样调查),19岁平均育龄妇女人数(人口抽样调查),20-24岁平均育龄妇女人数(人口抽样调查),20岁平均育龄妇女人数(人口抽样调查),21岁平均育龄妇女人数(人口抽样调查),22岁平均育龄妇女人数(人口抽样调查),23岁平均育龄妇女人数(人口抽样调查),24岁平均育龄妇女人数(人口抽样调查),25-29岁平均育龄妇女人数(人口抽样调查),25岁平均育龄妇女人数(人口抽样调查),26岁平均育龄妇女人数(人口抽样调查),27岁平均育龄妇女人数(人口抽样调查),28岁平均育龄妇女人数(人口抽样调查),29岁平均育龄妇女人数(人口抽样调查),30-34岁平均育龄妇女人数(人口抽样调查),30岁平均育龄妇女人数(人口抽样调查),31岁平均育龄妇女人数(人口抽样调查),32岁平均育龄妇女人数(人口抽样调查),33岁平均育龄妇女人数(人口抽样调查),34岁平均育龄妇女人数(人口抽样调查),35-39岁平均育龄妇女人数(人口抽样调查),35岁平均育龄妇女人数(人口抽样调查),36岁平均育龄妇女人数(人口抽样调查),37岁平均育龄妇女人数(人口抽样调查),38岁平均育龄妇女人数(人口抽样调查),39岁平均育龄妇女人数(人口抽样调查),40-44岁平均育龄妇女人数(人口抽样调查),40岁平均育龄妇女人数(人口抽样调查),41岁平均育龄妇女人数(人口抽样调查),42岁平均育龄妇女人数(人口抽样调查),43岁平均育龄妇女人数(人口抽样调查),44岁平均育龄妇女人数(人口抽样调查),45-49岁平均育龄妇女人数(人口抽样调查),45岁平均育龄妇女人数(人口抽样调查),46岁平均育龄妇女人数(人口抽样调查),47岁平均育龄妇女人数(人口抽样调查),48岁平均育龄妇女人数(人口抽样调查),49岁平均育龄妇女人数(人口抽样调查),平均育龄妇女人数(人口抽样调查)
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,47631.0,11978.0,11210.0,9154.0,7833.0,7456.0,41296.0,7913.0,8134.0,7924.0,8423.0,8902.0,48555.0,8496.0,8846.0,9763.0,10330.0,11119.0,62838.0,11576.0,12080.0,13015.0,12986.0,13180.0,61568.0,12429.0,11585.0,12164.0,12119.0,13271.0,41927.0,12422.0,8216.0,6603.0,6945.0,7742.0,46862.0,9252.0,9418.0,9294.0,9459.0,9439.0,350677.0
2004年,50220.0,11810.0,11566.0,10741.0,8601.0,7502.0,41120.0,7454.0,8237.0,8612.0,8267.0,8549.0,46020.0,8829.0,8556.0,8863.0,9528.0,10243.0,59723.0,10834.0,11262.0,11917.0,12755.0,12955.0,61002.0,13043.0,12220.0,11553.0,12088.0,12099.0,47244.0,13129.0,12220.0,8210.0,6646.0,7039.0,45903.0,7764.0,9312.0,9632.0,9473.0,9722.0,351232.0
2005年,664051.0,159681.0,142241.0,138374.0,119925.0,103829.0,540714.0,99451.0,101725.0,113155.0,119600.0,106783.0,581947.0,115252.0,113871.0,110544.0,115952.0,126327.0,758911.0,133869.0,144698.0,153716.0,157343.0,169285.0,834137.0,169913.0,183370.0,158828.0,153068.0,168958.0,707521.0,164217.0,177276.0,177644.0,100442.0,87943.0,589306.0,96175.0,105700.0,131737.0,128958.0,126735.0,4676587.0
2006年,49542.0,9304.0,11470.0,10232.0,9436.0,9100.0,38889.0,8191.0,7041.0,7454.0,7535.0,8669.0,38242.0,7706.0,7390.0,7910.0,7914.0,7321.0,47580.0,8614.0,8606.0,9657.0,10290.0,10413.0,57920.0,11292.0,12428.0,11533.0,12615.0,10051.0,58505.0,11825.0,11605.0,11473.0,13359.0,10244.0,38247.0,5899.0,7102.0,6775.0,8625.0,9847.0,328924.0
2007年,46481.0,8513.0,8761.0,10578.0,9883.0,8745.0,40081.0,9285.0,8471.0,7365.0,7507.0,7454.0,39510.0,8546.0,7743.0,7485.0,7908.0,7828.0,44130.0,7435.0,8316.0,8670.0,9499.0,10211.0,58270.0,10597.0,11120.0,12464.0,11571.0,12518.0,58198.0,10204.0,11657.0,11798.0,11442.0,13097.0,38140.0,10185.0,5743.0,7163.0,6421.0,8629.0,324810.0
2008年,43329.0,7966.0,7992.0,8239.0,10038.0,9093.0,40883.0,8548.0,9128.0,8317.0,7433.0,7457.0,38920.0,7563.0,8576.0,7454.0,7618.0,7709.0,41400.0,8024.0,7193.0,8412.0,8458.0,9314.0,55269.0,10228.0,10559.0,10648.0,12368.0,11466.0,57072.0,12376.0,10189.0,11653.0,11580.0,11274.0,42640.0,13233.0,9977.0,5653.0,7178.0,6599.0,319513.0
2009年,39345.0,7230.0,7531.0,7490.0,7648.0,9446.0,43636.0,9416.0,8623.0,9640.0,8386.0,7570.0,37803.0,7424.0,7383.0,8296.0,7358.0,7342.0,39901.0,7670.0,7744.0,7378.0,8361.0,8748.0,53461.0,9511.0,10232.0,10689.0,10947.0,12081.0,56494.0,11403.0,12137.0,10171.0,11473.0,11309.0,46719.0,11223.0,13033.0,9693.0,5618.0,7153.0,317359.0
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,38322.0,7042.0,7564.0,7323.0,7973.0,8420.0,53323.0,9471.0,11432.0,10862.0,10347.0,11212.0,44282.0,9701.0,8506.0,8332.0,8247.0,9497.0,40240.0,8144.0,7915.0,8201.0,8270.0,7711.0,47325.0,8668.0,8723.0,9558.0,10166.0,10209.0,52585.0,10190.0,11361.0,10550.0,11346.0,9139.0,49419.0,9859.0,9983.0,9906.0,11300.0,8370.0,325497.0
2012年,35897.0,6831.0,7430.0,7017.0,6974.0,7646.0,51300.0,8555.0,10377.0,11380.0,10471.0,10518.0,43655.0,9833.0,8776.0,8297.0,8106.0,8643.0,40238.0,8897.0,7694.0,8034.0,7979.0,7635.0,44903.0,7912.0,8454.0,8941.0,9508.0,10088.0,51982.0,10118.0,10515.0,10685.0,11161.0,9504.0,49070.0,9041.0,9920.0,9498.0,10442.0,10169.0,317046.0
2013年,33282.0,6088.0,6784.0,7181.0,6243.0,6986.0,47741.0,8001.0,8385.0,9747.0,11302.0,10306.0,45289.0,10325.0,10045.0,8903.0,8199.0,7815.0,40800.0,8330.0,8620.0,7705.0,8189.0,7956.0,42037.0,7437.0,7763.0,8352.0,8910.0,9576.0,51856.0,9920.0,9832.0,10449.0,10581.0,11075.0,47862.0,9274.0,8870.0,9973.0,9516.0,10229.0,308867.0
2014年,31623.0,5732.0,6091.0,6055.0,6507.0,7238.0,45203.0,7755.0,7994.0,8061.0,10069.0,11324.0,47863.0,10158.0,10597.0,9998.0,8998.0,8111.0,40671.0,7885.0,8386.0,8830.0,7538.0,8032.0,40492.0,7968.0,7394.0,7900.0,8487.0,8744.0,50458.0,9527.0,9968.0,9859.0,10506.0,10598.0,48423.0,11007.0,9212.0,9009.0,9783.0,9412.0,304733.0
