,15-19岁平均育龄妇女人数(人口抽样调查),15岁平均育龄妇女人数(人口抽样调查),16岁平均育龄妇女人数(人口抽样调查),17岁平均育龄妇女人数(人口抽样调查),18岁平均育龄妇女人数(人口抽样调查),19岁平均育龄妇女人数(人口抽样调查),20-24岁平均育龄妇女人数(人口抽样调查),20岁平均育龄妇女人数(人口抽样调查),21岁平均育龄妇女人数(人口抽样调查),22岁平均育龄妇女人数(人口抽样调查),23岁平均育龄妇女人数(人口抽样调查),24岁平均育龄妇女人数(人口抽样调查),25-29岁平均育龄妇女人数(人口抽样调查),25岁平均育龄妇女人数(人口抽样调查),26岁平均育龄妇女人数(人口抽样调查),27岁平均育龄妇女人数(人口抽样调查),28岁平均育龄妇女人数(人口抽样调查),29岁平均育龄妇女人数(人口抽样调查),30-34岁平均育龄妇女人数(人口抽样调查),30岁平均育龄妇女人数(人口抽样调查),31岁平均育龄妇女人数(人口抽样调查),32岁平均育龄妇女人数(人口抽样调查),33岁平均育龄妇女人数(人口抽样调查),34岁平均育龄妇女人数(人口抽样调查),35-39岁平均育龄妇女人数(人口抽样调查),35岁平均育龄妇女人数(人口抽样调查),36岁平均育龄妇女人数(人口抽样调查),37岁平均育龄妇女人数(人口抽样调查),38岁平均育龄妇女人数(人口抽样调查),39岁平均育龄妇女人数(人口抽样调查),40-44岁平均育龄妇女人数(人口抽样调查),40岁平均育龄妇女人数(人口抽样调查),41岁平均育龄妇女人数(人口抽样调查),42岁平均育龄妇女人数(人口抽样调查),43岁平均育龄妇女人数(人口抽样调查),44岁平均育龄妇女人数(人口抽样调查),45-49岁平均育龄妇女人数(人口抽样调查),45岁平均育龄妇女人数(人口抽样调查),46岁平均育龄妇女人数(人口抽样调查),47岁平均育龄妇女人数(人口抽样调查),48岁平均育龄妇女人数(人口抽样调查),49岁平均育龄妇女人数(人口抽样调查),平均育龄妇女人数(人口抽样调查)
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
