,15-19岁育龄妇女生育孩子的人数(人口抽样调查),15岁育龄妇女生育孩子的人数(人口抽样调查),16岁育龄妇女生育孩子的人数(人口抽样调查),17岁育龄妇女生育孩子的人数(人口抽样调查),18岁育龄妇女生育孩子的人数(人口抽样调查),19岁育龄妇女生育孩子的人数(人口抽样调查),20-24岁育龄妇女生育孩子的人数(人口抽样调查),20岁育龄妇女生育孩子的人数(人口抽样调查),21岁育龄妇女生育孩子的人数(人口抽样调查),22岁育龄妇女生育孩子的人数(人口抽样调查),23岁育龄妇女生育孩子的人数(人口抽样调查),24岁育龄妇女生育孩子的人数(人口抽样调查),25-29岁育龄妇女生育孩子的人数(人口抽样调查),25岁育龄妇女生育孩子的人数(人口抽样调查),26岁育龄妇女生育孩子的人数(人口抽样调查),27岁育龄妇女生育孩子的人数(人口抽样调查),28岁育龄妇女生育孩子的人数(人口抽样调查),29岁育龄妇女生育孩子的人数(人口抽样调查),30-34岁育龄妇女生育孩子的人数(人口抽样调查),30岁育龄妇女生育孩子的人数(人口抽样调查),31岁育龄妇女生育孩子的人数(人口抽样调查),32岁育龄妇女生育孩子的人数(人口抽样调查),33岁育龄妇女生育孩子的人数(人口抽样调查),34岁育龄妇女生育孩子的人数(人口抽样调查),35-39岁育龄妇女生育孩子的人数(人口抽样调查),35岁育龄妇女生育孩子的人数(人口抽样调查),36岁育龄妇女生育孩子的人数(人口抽样调查),37岁育龄妇女生育孩子的人数(人口抽样调查),38岁育龄妇女生育孩子的人数(人口抽样调查),39岁育龄妇女生育孩子的人数(人口抽样调查),40-44岁育龄妇女生育孩子的人数(人口抽样调查),40岁育龄妇女生育孩子的人数(人口抽样调查),41岁育龄妇女生育孩子的人数(人口抽样调查),42岁育龄妇女生育孩子的人数(人口抽样调查),43岁育龄妇女生育孩子的人数(人口抽样调查),44岁育龄妇女生育孩子的人数(人口抽样调查),45-49岁育龄妇女生育孩子的人数(人口抽样调查),45岁育龄妇女生育孩子的人数(人口抽样调查),46岁育龄妇女生育孩子的人数(人口抽样调查),47岁育龄妇女生育孩子的人数(人口抽样调查),48岁育龄妇女生育孩子的人数(人口抽样调查),49岁育龄妇女生育孩子的人数(人口抽样调查),出生人数(人口抽样调查)
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,250.0,6.0,10.0,22.0,57.0,155.0,5066.0,446.0,830.0,1097.0,1292.0,1401.0,4974.0,1234.0,1082.0,1018.0,872.0,768.0,2405.0,678.0,580.0,485.0,379.0,283.0,533.0,206.0,123.0,90.0,70.0,43.0,74.0,33.0,21.0,9.0,6.0,6.0,26.0,5.0,6.0,6.0,4.0,4.0,13328.0
2004年,279.0,6.0,13.0,32.0,67.0,161.0,4969.0,415.0,863.0,1149.0,1248.0,1293.0,4952.0,1251.0,1115.0,957.0,857.0,771.0,2521.0,674.0,601.0,512.0,405.0,329.0,619.0,227.0,156.0,105.0,73.0,57.0,91.0,42.0,25.0,12.0,6.0,7.0,19.0,3.0,2.0,4.0,5.0,5.0,13450.0
2005年,4209.0,17.0,94.0,415.0,1072.0,2611.0,61889.0,6735.0,11016.0,13947.0,15891.0,14300.0,53367.0,13794.0,11978.0,10037.0,9082.0,8477.0,30521.0,7660.0,7401.0,6196.0,5055.0,4210.0,9157.0,3102.0,2538.0,1605.0,1076.0,836.0,1447.0,553.0,378.0,284.0,122.0,110.0,451.0,84.0,92.0,80.0,100.0,96.0,161042.0
2006年,227.0,0.0,7.0,25.0,60.0,135.0,3948.0,368.0,640.0,860.0,947.0,1133.0,3813.0,947.0,856.0,787.0,682.0,541.0,2236.0,558.0,517.0,465.0,385.0,311.0,940.0,294.0,232.0,175.0,147.0,91.0,259.0,69.0,64.0,40.0,38.0,46.0,86.0,19.0,16.0,12.0,17.0,22.0,11509.0
2007年,178.0,,,12.0,61.0,105.0,3755.0,366.0,696.0,793.0,888.0,1012.0,4100.0,1023.0,865.0,840.0,751.0,622.0,2310.0,509.0,552.0,475.0,405.0,369.0,1189.0,310.0,278.0,262.0,174.0,166.0,390.0,98.0,89.0,74.0,69.0,61.0,198.0,48.0,31.0,47.0,26.0,47.0,12169.0
2008年,228.0,1.0,2.0,15.0,51.0,159.0,3867.0,350.0,767.0,874.0,894.0,983.0,3948.0,861.0,930.0,752.0,736.0,670.0,2229.0,580.0,432.0,460.0,405.0,353.0,1212.0,303.0,278.0,210.0,246.0,174.0,566.0,152.0,111.0,100.0,117.0,86.0,284.0,99.0,74.0,32.0,43.0,35.0,12405.0
2009年,242.0,1.0,10.0,20.0,53.0,158.0,3779.0,391.0,642.0,920.0,968.0,858.0,3651.0,855.0,762.0,801.0,634.0,600.0,2007.0,494.0,444.0,393.0,347.0,328.0,1060.0,280.0,225.0,228.0,168.0,159.0,428.0,120.0,116.0,62.0,71.0,58.0,270.0,68.0,65.0,49.0,40.0,47.0,11468.0
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,236.0,7.0,9.0,35.0,61.0,123.0,3547.0,276.0,642.0,760.0,886.0,982.0,3420.0,795.0,724.0,615.0,605.0,681.0,1644.0,422.0,392.0,299.0,290.0,241.0,594.0,145.0,129.0,134.0,117.0,68.0,179.0,53.0,57.0,25.0,26.0,18.0,62.0,14.0,9.0,13.0,16.0,10.0,9684.0
2012年,241.0,,11.0,38.0,72.0,120.0,3735.0,266.0,514.0,887.0,1058.0,1009.0,4227.0,1008.0,968.0,784.0,776.0,691.0,2045.0,629.0,470.0,392.0,311.0,243.0,770.0,181.0,199.0,150.0,140.0,100.0,284.0,112.0,61.0,55.0,33.0,23.0,77.0,14.0,22.0,18.0,5.0,18.0,11379.0
2013年,261.0,2.0,14.0,44.0,86.0,115.0,3320.0,264.0,451.0,625.0,968.0,1013.0,4256.0,991.0,963.0,895.0,790.0,615.0,2074.0,512.0,534.0,384.0,371.0,273.0,785.0,220.0,179.0,141.0,126.0,120.0,242.0,77.0,51.0,40.0,45.0,28.0,84.0,27.0,17.0,17.0,9.0,14.0,11022.0
2014年,354.0,5.0,16.0,55.0,101.0,178.0,3606.0,361.0,521.0,609.0,1009.0,1106.0,4481.0,1074.0,1097.0,899.0,756.0,654.0,1994.0,535.0,456.0,413.0,308.0,281.0,690.0,237.0,140.0,136.0,99.0,79.0,200.0,58.0,51.0,48.0,26.0,18.0,52.0,13.0,14.0,11.0,9.0,5.0,11377.0
