,15-19岁育龄妇女生育孩子的人数(人口抽样调查),15岁育龄妇女生育孩子的人数(人口抽样调查),16岁育龄妇女生育孩子的人数(人口抽样调查),17岁育龄妇女生育孩子的人数(人口抽样调查),18岁育龄妇女生育孩子的人数(人口抽样调查),19岁育龄妇女生育孩子的人数(人口抽样调查),20-24岁育龄妇女生育孩子的人数(人口抽样调查),20岁育龄妇女生育孩子的人数(人口抽样调查),21岁育龄妇女生育孩子的人数(人口抽样调查),22岁育龄妇女生育孩子的人数(人口抽样调查),23岁育龄妇女生育孩子的人数(人口抽样调查),24岁育龄妇女生育孩子的人数(人口抽样调查),25-29岁育龄妇女生育孩子的人数(人口抽样调查),25岁育龄妇女生育孩子的人数(人口抽样调查),26岁育龄妇女生育孩子的人数(人口抽样调查),27岁育龄妇女生育孩子的人数(人口抽样调查),28岁育龄妇女生育孩子的人数(人口抽样调查),29岁育龄妇女生育孩子的人数(人口抽样调查),30-34岁育龄妇女生育孩子的人数(人口抽样调查),30岁育龄妇女生育孩子的人数(人口抽样调查),31岁育龄妇女生育孩子的人数(人口抽样调查),32岁育龄妇女生育孩子的人数(人口抽样调查),33岁育龄妇女生育孩子的人数(人口抽样调查),34岁育龄妇女生育孩子的人数(人口抽样调查),35-39岁育龄妇女生育孩子的人数(人口抽样调查),35岁育龄妇女生育孩子的人数(人口抽样调查),36岁育龄妇女生育孩子的人数(人口抽样调查),37岁育龄妇女生育孩子的人数(人口抽样调查),38岁育龄妇女生育孩子的人数(人口抽样调查),39岁育龄妇女生育孩子的人数(人口抽样调查),40-44岁育龄妇女生育孩子的人数(人口抽样调查),40岁育龄妇女生育孩子的人数(人口抽样调查),41岁育龄妇女生育孩子的人数(人口抽样调查),42岁育龄妇女生育孩子的人数(人口抽样调查),43岁育龄妇女生育孩子的人数(人口抽样调查),44岁育龄妇女生育孩子的人数(人口抽样调查),45-49岁育龄妇女生育孩子的人数(人口抽样调查),45岁育龄妇女生育孩子的人数(人口抽样调查),46岁育龄妇女生育孩子的人数(人口抽样调查),47岁育龄妇女生育孩子的人数(人口抽样调查),48岁育龄妇女生育孩子的人数(人口抽样调查),49岁育龄妇女生育孩子的人数(人口抽样调查),出生人数(人口抽样调查)
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
