,15-19岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),15岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),16岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),17岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),18岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),19岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),20-24岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),20岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),21岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),22岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),23岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),24岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),25-29岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),25岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),26岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),27岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),28岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),29岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),30-34岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),30岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),31岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),32岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),33岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),34岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),35-39岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),35岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),36岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),37岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),38岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),39岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),40-44岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),40岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),41岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),42岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),43岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),44岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),45-49岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),45岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),46岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),47岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),48岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),49岁育龄妇女第三孩次及以上出生人口数(人口抽样调查),第三孩及以上出生人口数(人口抽样调查)
2003年,3.0,,,,1.0,2.0,78.0,4.0,7.0,12.0,24.0,31.0,190.0,29.0,34.0,42.0,39.0,44.0,232.0,53.0,48.0,43.0,45.0,42.0,95.0,30.0,20.0,19.0,16.0,11.0,21.0,8.0,4.0,4.0,3.0,2.0,10.0,2.0,2.0,2.0,2.0,1.0,628.0
2004年,6.0,1.0,1.0,1.0,1.0,2.0,43.0,4.0,4.0,7.0,10.0,18.0,143.0,24.0,25.0,27.0,31.0,35.0,154.0,35.0,34.0,30.0,29.0,26.0,81.0,19.0,19.0,17.0,15.0,11.0,28.0,9.0,9.0,5.0,3.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,463.0
2005年,11.0,,,1.0,3.0,7.0,560.0,23.0,45.0,89.0,158.0,244.0,2571.0,351.0,467.0,488.0,604.0,661.0,3192.0,651.0,727.0,665.0,591.0,559.0,1705.0,456.0,441.0,317.0,261.0,230.0,458.0,142.0,117.0,118.0,42.0,40.0,164.0,28.0,26.0,33.0,41.0,37.0,8662.0
2006年,1.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,8.0,3.0,9.0,11.0,122.0,13.0,26.0,19.0,35.0,28.0,139.0,28.0,29.0,27.0,38.0,16.0,112.0,36.0,31.0,16.0,19.0,10.0,32.0,7.0,9.0,6.0,5.0,5.0,10.0,3.0,1.0,1.0,1.0,4.0,447.0
2007年,,,,,,,24.0,3.0,1.0,5.0,3.0,12.0,93.0,11.0,19.0,21.0,29.0,12.0,184.0,37.0,51.0,35.0,28.0,33.0,102.0,21.0,21.0,31.0,21.0,8.0,26.0,5.0,4.0,10.0,3.0,5.0,16.0,6.0,2.0,,3.0,5.0,446.0
2008年,2.0,,,,,1.0,30.0,,2.0,9.0,7.0,11.0,121.0,18.0,19.0,19.0,28.0,37.0,152.0,40.0,23.0,29.0,32.0,28.0,94.0,20.0,23.0,21.0,16.0,14.0,43.0,12.0,10.0,9.0,7.0,6.0,12.0,5.0,3.0,1.0,2.0,2.0,456.0
2009年,1.0,,,,,1.0,23.0,3.0,2.0,1.0,5.0,12.0,101.0,15.0,16.0,19.0,18.0,34.0,123.0,19.0,32.0,26.0,24.0,21.0,105.0,17.0,19.0,25.0,25.0,18.0,41.0,9.0,9.0,7.0,8.0,7.0,17.0,6.0,4.0,3.0,1.0,4.0,412.0
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,1.0,,,,,1.0,32.0,,3.0,5.0,8.0,16.0,119.0,13.0,18.0,31.0,19.0,37.0,146.0,33.0,36.0,27.0,28.0,22.0,85.0,9.0,20.0,25.0,22.0,9.0,30.0,12.0,7.0,3.0,2.0,6.0,5.0,1.0,,,1.0,3.0,419.0
2012年,1.0,,,,1.0,1.0,41.0,2.0,2.0,5.0,10.0,22.0,117.0,17.0,20.0,29.0,28.0,24.0,163.0,35.0,29.0,40.0,26.0,33.0,110.0,28.0,18.0,29.0,22.0,14.0,56.0,17.0,13.0,16.0,6.0,4.0,11.0,3.0,3.0,5.0,,,500.0
2013年,1.0,,,,1.0,,30.0,2.0,1.0,3.0,5.0,19.0,136.0,16.0,28.0,27.0,33.0,33.0,153.0,33.0,29.0,30.0,41.0,21.0,113.0,25.0,31.0,15.0,23.0,18.0,41.0,16.0,6.0,5.0,11.0,3.0,17.0,7.0,4.0,2.0,2.0,1.0,490.0
2014年,7.0,,,,2.0,5.0,60.0,1.0,6.0,7.0,19.0,27.0,225.0,33.0,53.0,52.0,58.0,29.0,254.0,54.0,56.0,52.0,48.0,43.0,122.0,40.0,21.0,21.0,25.0,15.0,49.0,10.0,13.0,11.0,8.0,6.0,18.0,5.0,6.0,3.0,2.0,1.0,735.0
