,0-4岁男性人口数(人口抽样调查),10-14岁男性人口数(人口抽样调查),15-19岁男性人口数(人口抽样调查),20-24岁男性人口数(人口抽样调查),25-29岁男性人口数(人口抽样调查),30-34岁男性人口数(人口抽样调查),35-39岁男性人口数(人口抽样调查),40-44岁男性人口数(人口抽样调查),45-49岁男性人口数(人口抽样调查),5-9岁男性人口数(人口抽样调查),50-54岁男性人口数(人口抽样调查),55-59岁男性人口数(人口抽样调查),60-64岁男性人口数(人口抽样调查),65-69岁男性人口数(人口抽样调查),70-74岁男性人口数(人口抽样调查),75-79岁男性人口数(人口抽样调查),80-84岁男性人口数(人口抽样调查),85-89岁男性人口数(人口抽样调查),90-94岁男性人口数(人口抽样调查),95岁以上男性人口数(人口抽样调查),男性人口数(人口抽样调查)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642754
2003年,34509,59219,54997,40027,46629,61870,61929,46740,47753,44193,41095,29401,23345,20974,15833,9033,4137,1330,323,63,643400
2004年,34089,54921,56583,39164,43530,59010,61490,50558,45320,41433,43875,31459,24266,20110,16095,9111,4387,1348,355,63,637167
2005年,499709,721493,749084,499927,539235,711021,813134,732641,575858,577004,622759,462421,342519,286166,224027,135684,66132,20475,4785,810,8584882
2006年,33121,48057,55481,37271,35868,45819,56033,57276,38248,38942,45643,34539,24947,20460,16142,9850,4604,1561,366,75,604303
2007年,33163,45342,52436,38520,37245,42623,57121,57649,37944,37275,46624,36982,25948,20296,16385,10070,4951,1760,332,75,602740
2008年,33352,42560,49438,40003,37497,40627,54028,56636,42061,35314,46290,39294,26778,19823,16556,10545,5197,1888,375,78,598339
2009年,33140,39749,44170,44001,37678,38833,52579,55862,45647,34705,42441,39592,28348,20277,16258,10997,5178,1971,361,83,591871
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,35247,33709,42066,55243,44976,41908,49570,54806,51434,33242,31821,36213,26688,18064,14394,9959,5324,1855,446,73,587039
2012年,34694,32370,38909,52033,45257,42539,45524,54913,50563,33252,31554,36136,27928,18728,13991,10125,5428,1859,484,66,576354
2013年,34273,31141,36177,50961,46693,41986,43057,53017,49884,33890,35355,35892,29230,19577,13748,10054,5759,2104,555,77,573428
2014年,34484,31616,34584,46891,49801,41777,41761,52086,50455,34326,39470,33781,30781,20573,14528,10179,5987,2244,581,106,576011
