,15-19岁育龄妇女第一孩次生育率(人口抽样调查),15岁育龄妇女第一孩次生育率(人口抽样调查),16岁育龄妇女第一孩次生育率(人口抽样调查),17岁育龄妇女第一孩次生育率(人口抽样调查),18岁育龄妇女第一孩次生育率(人口抽样调查),19岁育龄妇女第一孩次生育率(人口抽样调查),20-24岁育龄妇女第一孩次生育率(人口抽样调查),20岁育龄妇女第一孩次生育率(人口抽样调查),21岁育龄妇女第一孩次生育率(人口抽样调查),22岁育龄妇女第一孩次生育率(人口抽样调查),23岁育龄妇女第一孩次生育率(人口抽样调查),24岁育龄妇女第一孩次生育率(人口抽样调查),25-29岁育龄妇女第一孩次生育率(人口抽样调查),25岁育龄妇女第一孩次生育率(人口抽样调查),26岁育龄妇女第一孩次生育率(人口抽样调查),27岁育龄妇女第一孩次生育率(人口抽样调查),28岁育龄妇女第一孩次生育率(人口抽样调查),29岁育龄妇女第一孩次生育率(人口抽样调查),30-34岁育龄妇女第一孩次生育率(人口抽样调查),30岁育龄妇女第一孩次生育率(人口抽样调查),31岁育龄妇女第一孩次生育率(人口抽样调查),32岁育龄妇女第一孩次生育率(人口抽样调查),33岁育龄妇女第一孩次生育率(人口抽样调查),34岁育龄妇女第一孩次生育率(人口抽样调查),35-39岁育龄妇女第一孩次生育率(人口抽样调查),35岁育龄妇女第一孩次生育率(人口抽样调查),36岁育龄妇女第一孩次生育率(人口抽样调查),37岁育龄妇女第一孩次生育率(人口抽样调查),38岁育龄妇女第一孩次生育率(人口抽样调查),39岁育龄妇女第一孩次生育率(人口抽样调查),40-44岁育龄妇女第一孩次生育率(人口抽样调查),40岁育龄妇女第一孩次生育率(人口抽样调查),41岁育龄妇女第一孩次生育率(人口抽样调查),42岁育龄妇女第一孩次生育率(人口抽样调查),43岁育龄妇女第一孩次生育率(人口抽样调查),44岁育龄妇女第一孩次生育率(人口抽样调查),45-49岁育龄妇女第一孩次生育率(人口抽样调查),45岁育龄妇女第一孩次生育率(人口抽样调查),46岁育龄妇女第一孩次生育率(人口抽样调查),47岁育龄妇女第一孩次生育率(人口抽样调查),48岁育龄妇女第一孩次生育率(人口抽样调查),49岁育龄妇女第一孩次生育率(人口抽样调查),第一孩次生育率(人口抽样调查)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
