,15岁及以上丧偶人口数(人口抽样调查),15岁及以上人口数(人口抽样调查),15岁及以上再婚有配偶人口数(人口抽样调查),15岁及以上初婚有配偶人口数(人口抽样调查),15岁及以上女性丧偶人口数(人口抽样调查),15岁及以上女性人口数(人口抽样调查),15岁及以上女性再婚有配偶人口数(人口抽样调查),15岁及以上女性初婚有配偶人口数(人口抽样调查),15岁及以上女性未婚人口数(人口抽样调查),15岁及以上女性离婚人口数(人口抽样调查),15岁及以上未婚人口数(人口抽样调查),15岁及以上男性丧偶人口数(人口抽样调查),15岁及以上男性人口数(人口抽样调查),15岁及以上男性再婚有配偶人口数(人口抽样调查),15岁及以上男性初婚有配偶人口数(人口抽样调查),15岁及以上男性未婚人口数(人口抽样调查),15岁及以上男性离婚人口数(人口抽样调查),15岁及以上离婚人口数(人口抽样调查)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,58020.0,990974.0,16885.0,712722.0,40207.0,491825.0,9007.0,359455.0,79195.0,3960.0,193236.0,17813.0,499149.0,7878.0,353266.0,114041.0,6151.0,10111.0
2003年,57493.0,1004154.0,17293.0,721846.0,39876.0,498676.0,9147.0,364322.0,80941.0,4389.0,196717.0,17617.0,505478.0,8146.0,357524.0,115776.0,6415.0,10805.0
2004年,57903.0,1011199.0,16527.0,728431.0,40195.0,504475.0,8781.0,367721.0,83403.0,4375.0,197561.0,17708.0,506724.0,7746.0,360710.0,114158.0,6402.0,10777.0
2005年,783760.0,13664737.0,301209.0,9824784.0,544209.0,6878061.0,162262.0,5022977.0,1094474.0,54139.0,2619360.0,239551.0,6786677.0,138947.0,4801807.0,1524886.0,81486.0,135625.0
2006年,56962.0,972385.0,18083.0,698582.0,39327.0,488202.0,9710.0,356115.0,79051.0,3999.0,188559.0,17635.0,484183.0,8374.0,342467.0,109508.0,6199.0,10199.0
2007年,57450.0,976263.0,17338.0,703008.0,39524.0,489304.0,9206.0,357498.0,78913.0,4162.0,187773.0,17926.0,486960.0,8132.0,345510.0,108859.0,6532.0,10694.0
2008年,57536.0,974433.0,17043.0,704076.0,39489.0,487319.0,8995.0,357396.0,76976.0,4463.0,184613.0,18047.0,487113.0,8048.0,346680.0,107637.0,6702.0,11164.0
2009年,56454.0,968469.0,16404.0,702009.0,38758.0,484192.0,8600.0,356999.0,75159.0,4676.0,181718.0,17697.0,484277.0,7804.0,345010.0,106558.0,7208.0,11884.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,52223.0,956619.0,14956.0,677283.0,36095.0,471779.0,7900.0,337609.0,84651.0,5523.0,199241.0,16128.0,484840.0,7057.0,339674.0,114590.0,7391.0,12915.0
2012年,50226.0,939526.0,14647.0,669629.0,34888.0,463489.0,7642.0,334843.0,80455.0,5662.0,191753.0,15337.0,476037.0,7005.0,334786.0,111298.0,7610.0,13272.0
2013年,50692.0,934935.0,15023.0,665734.0,34862.0,460810.0,7848.0,334770.0,77147.0,6183.0,188708.0,15830.0,474125.0,7175.0,330964.0,111561.0,8595.0,14778.0
2014年,50409.0,938993.0,19181.0,668223.0,35345.0,463408.0,9879.0,336269.0,75132.0,6783.0,184889.0,15064.0,475585.0,9302.0,331953.0,109758.0,9508.0,16291.0
