,事务所资质其他注册执业人员,事务所资质年末注册执业人数,事务所资质注册监理工程师,公路工程其他注册执业人员,公路工程年末注册执业人数,公路工程注册监理工程师,农林工程其他注册执业人员,农林工程年末注册执业人数,农林工程注册监理工程师,冶炼工程其他注册执业人员,冶炼工程年末注册执业人数,冶炼工程注册监理工程师,化工、石油工程其他注册执业人员,化工、石油工程年末注册执业人数,化工、石油工程注册监理工程师,市政公用工程其他注册执业人员,市政公用工程年末注册执业人数,市政公用工程注册监理工程师,建设工程监理企业其他注册执业人员,建设工程监理企业注册执业人数,建设工程监理企业注册监理工程师,房屋建筑工程其他注册执业人员,房屋建筑工程年末注册执业人数,房屋建筑工程注册监理工程师,机电安装工程其他注册执业人员,机电安装工程年末注册执业人数,机电安装工程注册监理工程师,水利水电工程其他注册执业人员,水利水电工程年末注册执业人数,水利水电工程注册监理工程师,港口与航道工程其他注册执业人员,港口与航道工程年末注册执业人数,港口与航道工程注册监理工程师,电力工程其他注册执业人员,电力工程年末注册执业人数,电力工程注册监理工程师,矿山工程其他注册执业人员,矿山工程年末注册执业人数,矿山工程注册监理工程师,综合资质其他注册执业人员,综合资质年末注册执业人数,综合资质注册监理工程师,航天航空工程其他注册执业人员,航天航空工程年末注册执业人数,航天航空工程注册监理工程师,通信工程其他注册执业人员,通信工程年末注册执业人数,通信工程注册监理工程师,铁路工程其他注册执业人员,铁路工程年末注册执业人数,铁路工程注册监理工程师
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17335,98683,81348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18870,100167,81297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,315,670,355,83,357,274,407,1592,1185,1119,3916,2797,1648,5597,3949,28710,99843,71133,21216,77061,55845,17,45,28,1073,2351,1278,376,640,264,1036,3581,2545,367,857,490,0,0,0,12,94,82,156,338,182,885,2744,1859
2008年,2,6,4,262,747,485,93,411,318,433,1828,1395,1574,5160,3586,2053,7115,5062,32878,122155,89277,23412,92019,68607,36,136,100,1212,2700,1488,315,624,309,1394,4514,3120,275,999,724,1018,2565,1547,22,155,133,125,335,210,652,2841,2189
2009年,15,116,101,146,562,416,68,294,226,379,1716,1337,1297,5020,3723,1964,7578,5614,32777,130194,97417,23199,96202,73003,66,119,53,592,1960,1368,120,539,419,1429,5051,3622,326,1043,717,2389,6531,4142,73,258,185,23,188,165,691,3017,2326
2010年,33,143,110,196,660,464,77,235,158,446,1631,1185,1518,4908,3390,2384,8515,6131,42360,141433,99073,31114,105427,74313,81,126,45,582,1782,1200,80,314,234,1852,5301,3449,376,1159,783,2701,7606,4905,52,190,138,19,147,128,849,3289,2440
2011年,139,417,278,373,911,538,34,131,97,456,1886,1430,1734,5544,3810,2540,9370,6830,46821,158485,111664,32564,113989,81425,99,151,52,881,2333,1452,56,266,210,2291,6324,4033,477,1331,854,4409,12223,7814,71,249,178,59,223,164,638,3137,2499
2012年,0,5,5,0,654,466,0,115,83,0,2045,1493,0,6014,3948,0,10446,7344,0,171902,118352,0,124009,86690,0,163,57,0,2315,1579,0,281,231,0,6992,4197,0,1479,821,0,13578,8430,0,264,174,0,269,198,0,3273,2636
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,250,208,0,887,580,0,149,111,0,1460,1041,0,6687,4361,0,13022,9043,0,201863,137407,0,142416,98855,0,164,55,0,2467,1679,0,342,264,0,7758,4844,0,1891,1102,0,20290,12260,0,282,168,0,424,278,0,3374,2558
