,事务所资质企业单位数,公路工程企业单位数,农林工程企业单位数,冶炼工程企业单位数,化工、石油工程企业单位数,市政公用工程企业单位数,建设工程监理企业单位数,房屋建筑工程企业单位数,机电安装工程企业单位数,水利水电工程企业单位数,港口与航道工程企业单位数,电力工程企业单位数,矿山工程企业单位数,综合资质企业单位数,航天航空工程企业单位数,通信工程企业单位数,铁路工程企业单位数
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,5927.0,,,,,,,,,,
2006年,,,,,,,6170.0,,,,,,,,,,
2007年,,35.0,42.0,56.0,126.0,283.0,6043.0,5116.0,5.0,83.0,16.0,166.0,32.0,,6.0,15.0,62.0
2008年,1.0,30.0,41.0,57.0,131.0,305.0,6080.0,5103.0,3.0,75.0,15.0,162.0,35.0,17.0,4.0,17.0,56.0
2009年,14.0,20.0,12.0,48.0,124.0,295.0,5475.0,4584.0,3.0,59.0,11.0,161.0,28.0,49.0,7.0,12.0,48.0
2010年,24.0,24.0,20.0,51.0,132.0,341.0,6106.0,5112.0,3.0,63.0,9.0,170.0,28.0,57.0,5.0,13.0,54.0
2011年,32.0,27.0,20.0,52.0,134.0,376.0,6512.0,5398.0,3.0,76.0,10.0,195.0,31.0,83.0,6.0,15.0,54.0
2012年,4.0,26.0,19.0,47.0,138.0,413.0,6605.0,5465.0,3.0,78.0,10.0,209.0,30.0,89.0,6.0,15.0,53.0
2013年,,,,,,,6820.0,,,,,,,,,,
2014年,27.0,33.0,23.0,34.0,151.0,503.0,7279.0,5941.0,3.0,81.0,10.0,249.0,40.0,116.0,6.0,15.0,47.0
