,企业法人单位数,其他企业法人单位数,国有控股企业法人单位数,外商控股企业法人单位数,港、澳、台商控股企业法人单位数,私人控股企业法人单位数,集体控股企业法人单位数
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,,,,,,,
1991年,,,,,,,
1992年,,,,,,,
1993年,,,,,,,
1994年,,,,,,,
1995年,,,,,,,
1996年,,,,,,,
1997年,,,,,,,
1998年,,,,,,,
1999年,,,,,,,
2000年,,,,,,,
2001年,,,,,,,
2002年,,,,,,,
2003年,,,,,,,
2004年,,,,,,,
2005年,,,,,,,
2006年,,,,,,,
2007年,,,,,,,
2008年,,,,,,,
2009年,,,,,,,
2010年,6517670.0,683952.0,249622.0,98412.0,89681.0,5126438.0,269565.0
2011年,7331200.0,808644.0,261944.0,102989.0,95382.0,5792102.0,270139.0
2012年,8286654.0,974210.0,278479.0,109103.0,101518.0,6552049.0,271295.0
2013年,8208273.0,545448.0,220508.0,85896.0,83840.0,7059996.0,212585.0
2014年,10617154.0,881443.0,263348.0,97793.0,98661.0,9027688.0,248221.0
