,企业法人单位数,内资企业法人单位数,国有企业法人单位数,外商投资企业单位法人单位数,有限责任公司法人单位数,港、澳、台商投资企业法人单位数,私营企业法人单位数,联营企业法人单位数,股份合作企业法人单位数,股份有限公司法人单位数,集体企业法人单位数
1978年,,,,,,,,,,,
1979年,,,,,,,,,,,
1980年,,,,,,,,,,,
1981年,,,,,,,,,,,
1982年,,,,,,,,,,,
1983年,,,,,,,,,,,
1984年,,,,,,,,,,,
1985年,,,,,,,,,,,
1986年,,,,,,,,,,,
1987年,,,,,,,,,,,
1988年,,,,,,,,,,,
1989年,,,,,,,,,,,
1990年,,,,,,,,,,,
1991年,,,,,,,,,,,
1992年,,,,,,,,,,,
1993年,,,,,,,,,,,
1994年,,,,,,,,,,,
1995年,,,,,,,,,,,
1996年,,,,,,,,,,,
1997年,,,,,,,,,,,
1998年,,,,,,,,,,,
1999年,,,,,,,,,,,
2000年,,,,,,,,,,,
2001年,,,,,,,,,,,
2002年,,,,,,,,,,,
2003年,,,,,,,,,,,
2004年,,,,,,,,,,,
2005年,,,,,,,,,,,
2006年,,,,,,,,,,,
2007年,,,,,,,,,,,
2008年,,,,,,,,,,,
2009年,,,,,,,,,,,
2010年,6517670.0,6300453.0,153847.0,118168.0,773324.0,99049.0,4683851.0,13032.0,71810.0,119175.0,192341.0
2011年,7331200.0,7101085.0,156323.0,124102.0,917113.0,106013.0,5254870.0,13399.0,73159.0,128954.0,187065.0
2012年,8286654.0,8043201.0,159644.0,130851.0,1090375.0,112602.0,5917718.0,13585.0,74697.0,138698.0,183870.0
2013年,8208273.0,8005884.0,113254.0,105834.0,1494395.0,96555.0,5603917.0,19725.0,64680.0,123370.0,130516.0
2014年,10617154.0,10385200.0,130216.0,119878.0,1848091.0,112076.0,7266188.0,21402.0,69767.0,145986.0,147251.0
