,城镇中等偏上收入户(20%)居民家庭人均交通通信消费现金支出,城镇中等偏上收入户(20%)居民家庭人均住房消费现金支出,城镇中等偏上收入户(20%)居民家庭人均其他消费现金支出,城镇中等偏上收入户(20%)居民家庭人均医疗保健消费现金支出,城镇中等偏上收入户(20%)居民家庭人均奶及奶制品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均家庭设备及用品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均居住消费现金支出,城镇中等偏上收入户(20%)居民家庭人均文化娱乐用品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均文教娱乐消费现金支出,城镇中等偏上收入户(20%)居民家庭人均服装消费现金支出,城镇中等偏上收入户(20%)居民家庭人均水产品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均消费现金支出,城镇中等偏上收入户(20%)居民家庭人均粮食消费现金支出,城镇中等偏上收入户(20%)居民家庭人均耐用消费品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均肉禽及其制品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均蛋类消费现金支出,城镇中等偏上收入户(20%)居民家庭人均衣着消费现金支出,城镇中等偏上收入户(20%)居民家庭人均食品消费现金支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,718.92,220.3,226.13,510.15,128.31,460.99,643.15,305.17,1046.46,525.61,203.41,6939.95,199.13,252.53,514.38,63.41,737.2,2596.95
2003年,826.32,286.49,250.79,560.89,153.33,472.55,779.81,334.04,1102.89,566.91,201.02,7547.31,202.68,249.21,538.63,65.72,791.36,2762.75
2004年,938.65,262.69,285.36,665.82,162.9,480.6,813.24,301.66,1182.09,617.3,216.7,8345.7,248.35,242.49,605.95,74.29,849.19,3130.75
2005年,1074.9,284.8,329.92,764.91,173.23,546.06,921.67,364.93,1336.77,731.97,234.15,9410.77,254.36,270.35,655.83,78.21,1010.63,3425.91
2006年,1264.52,310.91,360.39,762.37,183.65,583.94,1009.55,397.74,1469.14,810.85,257.57,10218.25,257.74,280.73,623.58,74.19,1120.4,3647.94
2007年,1420.31,315.54,424.19,861.43,192.23,716.89,1095.36,408.02,1544.2,917.87,302.69,11570.39,302.84,339.4,806.75,94.75,1278.22,4229.78
2008年,1633.57,350.82,494.91,977.89,234.0,837.63,1265.94,438.25,1630.13,1031.23,349.18,13316.63,355.87,379.07,1039.71,102.51,1432.93,5043.63
2009年,2047.83,526.36,598.21,1072.01,241.65,977.07,1493.31,483.42,1807.73,1156.29,383.04,14964.37,366.04,453.89,1010.77,103.87,1601.19,5367.01
2010年,2357.96,457.41,608.93,1060.13,245.85,1110.95,1504.21,521.74,2001.47,1311.87,416.3,16140.36,425.51,496.57,1051.41,111.87,1786.57,5710.14
2011年,2647.88,518.2,672.43,1136.88,284.63,1277.09,1627.62,558.27,2238.14,1513.44,452.69,18160.91,477.78,559.66,1269.45,133.54,2045.84,6515.04
2012年,2960.62,543.48,800.35,1248.92,308.8,1346.21,1708.68,565.38,2449.14,1637.68,522.7,19830.17,501.69,532.17,1341.13,133.33,2213.83,7102.41
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
