,城镇居民家庭人均交通通信消费现金支出,城镇居民家庭人均住房消费现金支出,城镇居民家庭人均其他消费现金支出,城镇居民家庭人均医疗保健消费现金支出,城镇居民家庭人均奶及奶制品消费现金支出,城镇居民家庭人均家庭设备及用品消费现金支出,城镇居民家庭人均居住消费现金支出,城镇居民家庭人均文化娱乐用品消费现金支出,城镇居民家庭人均文教娱乐消费现金支出,城镇居民家庭人均服装消费现金支出,城镇居民家庭人均水产品消费现金支出,城镇居民家庭人均消费现金支出,城镇居民家庭人均粮食消费现金支出,城镇居民家庭人均耐用消费品消费现金支出,城镇居民家庭人均肉禽及其制品消费现金支出,城镇居民家庭人均蛋类消费现金支出,城镇居民家庭人均衣着消费现金支出,城镇居民家庭人均食品消费现金支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,626.04,242.64,195.84,430.08,104.76,388.68,624.36,245.16,902.28,590.88,169.68,6029.88,190.44,205.08,455.12,59.16,590.88,2271.84
2003年,721.12,256.45,215.1,475.98,124.7,410.34,699.38,264.47,934.38,455.32,170.31,6510.94,194.15,213.57,473.19,60.97,637.72,2416.92
2004年,843.62,247.89,240.24,528.15,132.37,407.37,733.53,256.65,1032.8,493.81,178.06,7182.1,238.76,198.84,526.8,68.19,686.79,2709.6
2005年,996.72,249.25,277.75,600.85,138.62,446.52,808.66,280.21,1097.46,577.0,188.8,7942.88,242.16,213.21,564.91,71.48,800.51,2914.39
2006年,1147.12,285.07,309.49,620.54,150.23,498.48,904.19,310.26,1203.03,646.69,202.87,8696.55,246.46,233.88,545.64,67.6,901.78,3111.92
2007年,1357.41,302.19,357.7,699.09,160.72,601.8,982.28,343.17,1329.16,747.93,243.78,9997.47,278.3,285.54,703.27,83.83,1042.0,3628.03
2008年,1417.12,345.06,418.31,786.2,189.84,691.83,1145.41,354.82,1358.26,839.07,280.28,11242.85,328.26,309.31,896.87,91.68,1165.91,4259.81
2009年,1682.57,396.95,474.21,856.41,196.14,786.94,1228.91,381.32,1472.76,923.99,301.42,12264.55,334.29,358.98,867.49,92.78,1284.2,4478.54
2010年,1983.7,421.19,499.15,871.77,198.47,908.01,1332.14,406.96,1627.64,1057.11,326.86,13471.45,385.51,394.56,914.22,98.02,1444.34,4804.71
2011年,2149.69,451.25,581.26,968.98,234.01,1023.17,1405.01,449.55,1851.74,1237.03,353.99,15160.89,437.58,423.81,1105.93,116.65,1674.7,5506.33
2012年,2455.47,463.64,657.1,1063.68,253.57,1116.06,1484.26,451.88,2033.5,1344.87,408.92,16674.32,458.53,431.52,1183.59,119.0,1823.39,6040.85
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
