,城镇中等收入户(20%)居民家庭人均交通通信消费现金支出,城镇中等收入户(20%)居民家庭人均住房消费现金支出,城镇中等收入户(20%)居民家庭人均其他消费现金支出,城镇中等收入户(20%)居民家庭人均医疗保健消费现金支出,城镇中等收入户(20%)居民家庭人均奶及奶制品消费现金支出,城镇中等收入户(20%)居民家庭人均家庭设备及用品消费现金支出,城镇中等收入户(20%)居民家庭人均居住消费现金支出,城镇中等收入户(20%)居民家庭人均文化娱乐用品消费现金支出,城镇中等收入户(20%)居民家庭人均文教娱乐消费现金支出,城镇中等收入户(20%)居民家庭人均服装消费现金支出,城镇中等收入户(20%)居民家庭人均水产品消费现金支出,城镇中等收入户(20%)居民家庭人均消费现金支出,城镇中等收入户(20%)居民家庭人均粮食消费现金支出,城镇中等收入户(20%)居民家庭人均耐用消费品消费现金支出,城镇中等收入户(20%)居民家庭人均肉禽及其制品消费现金支出,城镇中等收入户(20%)居民家庭人均蛋类消费现金支出,城镇中等收入户(20%)居民家庭人均衣着消费现金支出,城镇中等收入户(20%)居民家庭人均食品消费现金支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,505.78,195.03,160.43,382.83,99.15,331.54,563.31,199.55,797.52,398.43,149.14,5452.94,186.66,173.9,458.68,59.8,571.19,2140.34
2003年,598.16,165.42,179.54,415.13,122.9,343.06,588.75,206.49,811.91,438.1,154.27,5848.02,190.53,177.56,477.16,60.88,617.54,2293.98
2004年,696.36,175.01,198.42,466.86,131.64,349.63,642.85,212.99,901.8,471.28,160.97,6498.36,234.29,167.92,534.02,69.18,661.21,2581.24
2005年,764.7,200.94,229.81,561.82,140.44,397.17,745.49,236.6,985.68,558.99,176.0,7308.06,241.91,188.12,584.52,74.15,784.56,2838.83
2006年,859.87,197.06,259.6,590.45,153.18,444.57,799.32,256.91,1047.48,628.62,188.37,7905.41,246.43,213.17,556.63,70.6,884.74,3019.37
2007年,993.43,215.1,309.95,646.52,165.24,545.18,873.89,304.11,1172.43,725.63,229.62,9097.35,280.51,262.47,717.29,88.16,1017.66,3538.3
2008年,1078.83,269.5,351.14,748.68,191.18,616.31,1060.58,301.81,1171.44,808.08,270.97,10344.7,335.58,268.58,930.11,95.93,1136.46,4181.25
2009年,1285.03,301.37,393.73,834.48,200.96,701.08,1131.03,335.78,1290.09,900.29,293.71,11309.73,339.81,307.95,904.41,97.09,1263.8,4410.49
2010年,1620.62,348.73,427.09,864.67,198.97,833.59,1260.28,351.15,1421.25,1020.34,313.76,12609.43,393.05,365.85,955.23,102.38,1408.1,4773.83
2011年,1762.25,280.53,466.07,911.03,235.83,923.35,1232.7,401.56,1637.1,1188.1,345.26,14028.17,444.05,375.27,1154.47,121.22,1628.59,5467.09
2012年,2063.25,354.81,529.94,1096.04,260.07,1033.64,1384.31,404.79,1785.45,1288.06,412.72,15719.94,473.18,395.16,1249.37,125.68,1765.93,6061.37
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
