,城镇较高收入户(10%)居民家庭人均交通通信消费现金支出,城镇较高收入户(10%)居民家庭人均住房消费现金支出,城镇较高收入户(10%)居民家庭人均其他消费现金支出,城镇较高收入户(10%)居民家庭人均医疗保健消费现金支出,城镇较高收入户(10%)居民家庭人均奶及奶制品消费现金支出,城镇较高收入户(10%)居民家庭人均家庭设备及用品消费现金支出,城镇较高收入户(10%)居民家庭人均居住消费现金支出,城镇较高收入户(10%)居民家庭人均文化娱乐用品消费现金支出,城镇较高收入户(10%)居民家庭人均文教娱乐消费现金支出,城镇较高收入户(10%)居民家庭人均服装消费现金支出,城镇较高收入户(10%)居民家庭人均水产品消费现金支出,城镇较高收入户(10%)居民家庭人均消费现金支出,城镇较高收入户(10%)居民家庭人均粮食消费现金支出,城镇较高收入户(10%)居民家庭人均耐用消费品消费现金支出,城镇较高收入户(10%)居民家庭人均肉禽及其制品消费现金支出,城镇较高收入户(10%)居民家庭人均蛋类消费现金支出,城镇较高收入户(10%)居民家庭人均衣着消费现金支出,城镇较高收入户(10%)居民家庭人均食品消费现金支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,991.17,407.38,307.46,657.33,163.67,645.72,906.67,437.43,1373.85,623.9,278.42,8919.94,211.77,354.84,582.02,68.68,866.38,3171.36
2003年,1106.03,389.0,345.91,757.57,189.32,687.17,965.22,493.44,1482.57,688.59,268.9,9627.58,213.74,389.11,597.8,70.05,945.33,3337.82
2004年,1274.18,455.99,382.0,821.16,194.65,685.43,1100.61,463.03,1673.76,786.41,282.6,10749.35,255.1,361.01,658.06,77.74,1071.52,3740.68
2005年,1590.28,451.25,457.03,997.59,206.79,754.85,1195.48,493.01,1700.23,929.82,314.58,12102.51,264.8,377.85,716.12,84.39,1255.95,4151.09
2006年,1801.04,506.43,519.56,1020.2,217.92,842.34,1341.89,558.64,1901.68,981.22,327.12,13169.82,270.04,414.56,685.74,78.66,1350.76,4392.35
2007年,2467.69,532.09,583.88,1108.59,225.78,967.68,1436.69,614.94,2092.01,1150.88,376.47,15297.73,319.37,484.27,883.03,97.76,1579.06,5062.13
2008年,2632.91,687.74,750.33,1257.64,278.16,1209.95,1795.45,669.93,2297.17,1363.95,444.47,17888.18,384.74,564.73,1160.64,108.37,1857.49,6087.25
2009年,3181.88,659.61,851.39,1322.4,283.4,1325.54,1775.08,682.5,2461.1,1465.42,472.06,19263.88,380.85,632.98,1095.79,109.96,1986.16,6360.33
2010年,3630.63,772.93,833.53,1313.6,296.69,1500.24,1999.99,728.75,2739.7,1657.1,497.25,21000.42,453.87,683.54,1142.37,117.74,2226.7,6756.0
2011年,3963.01,852.4,1033.8,1512.35,340.33,1736.37,2116.75,779.08,3155.73,1954.14,548.16,23906.21,515.52,758.97,1376.02,139.47,2598.3,7789.91
2012年,4304.11,798.49,1169.41,1580.04,365.39,1827.88,2154.27,793.42,3432.77,2067.91,630.61,25796.93,542.74,738.16,1480.4,142.42,2767.5,8560.96
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
