,城镇较低收入户(10%)居民家庭人均交通通信消费现金支出,城镇较低收入户(10%)居民家庭人均住房消费现金支出,城镇较低收入户(10%)居民家庭人均其他消费现金支出,城镇较低收入户(10%)居民家庭人均医疗保健消费现金支出,城镇较低收入户(10%)居民家庭人均奶及奶制品消费现金支出,城镇较低收入户(10%)居民家庭人均家庭设备及用品消费现金支出,城镇较低收入户(10%)居民家庭人均居住消费现金支出,城镇较低收入户(10%)居民家庭人均文化娱乐用品消费现金支出,城镇较低收入户(10%)居民家庭人均文教娱乐消费现金支出,城镇较低收入户(10%)居民家庭人均服装消费现金支出,城镇较低收入户(10%)居民家庭人均水产品消费现金支出,城镇较低收入户(10%)居民家庭人均消费现金支出,城镇较低收入户(10%)居民家庭人均粮食消费现金支出,城镇较低收入户(10%)居民家庭人均耐用消费品消费现金支出,城镇较低收入户(10%)居民家庭人均肉禽及其制品消费现金支出,城镇较低收入户(10%)居民家庭人均蛋类消费现金支出,城镇较低收入户(10%)居民家庭人均衣着消费现金支出,城镇较低收入户(10%)居民家庭人均食品消费现金支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,257.63,87.08,83.81,225.67,51.94,144.67,355.12,78.54,425.33,204.17,78.13,3259.59,174.11,54.57,340.29,52.16,309.49,1457.87
2003年,300.65,77.48,89.41,236.76,66.24,156.26,387.88,75.28,454.53,219.17,85.57,3549.28,178.47,57.49,364.71,53.72,329.15,1594.67
2004年,329.77,68.88,104.84,271.56,78.05,154.45,413.37,77.25,488.77,237.8,93.37,3942.23,229.99,52.95,408.15,60.61,352.04,1827.42
2005年,375.86,77.75,114.14,308.13,82.73,171.6,472.21,84.41,518.77,279.48,101.05,4295.35,226.76,60.73,433.51,63.79,408.63,1926.01
2006年,431.13,83.74,126.5,350.01,95.12,212.02,530.06,99.41,572.38,319.78,111.16,4765.55,229.81,75.78,439.2,57.94,470.0,2073.45
2007年,548.82,114.99,155.79,378.69,108.93,282.51,605.01,124.33,646.99,389.1,137.56,5634.15,246.86,113.01,552.68,70.24,565.19,2451.15
2008年,532.52,107.93,168.04,457.21,120.75,309.58,688.39,122.2,594.68,409.92,164.78,6195.32,286.61,110.23,699.03,78.0,598.65,2846.26
2009年,582.28,123.92,195.43,504.09,128.1,366.43,735.23,151.82,665.96,466.34,182.38,6743.09,292.15,138.72,691.17,79.22,684.18,3009.48
2010年,669.08,114.18,212.45,478.3,127.59,427.16,775.1,166.42,746.67,568.18,192.22,7360.17,326.37,153.47,728.82,80.53,804.73,3246.69
2011年,841.38,185.78,218.25,579.16,150.87,489.65,874.84,180.82,876.73,648.99,203.97,8509.32,370.27,170.42,879.06,94.22,913.39,3715.91
2012年,954.38,168.83,264.99,669.58,169.02,569.25,924.49,209.6,1034.87,746.36,235.6,9610.41,385.75,185.89,946.71,96.64,1045.5,4147.35
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
