,人民检察院直接立案侦查其他渎职案件受案数,人民检察院直接立案侦查其他贪污贿赂案件受案数,人民检察院直接立案侦查巨额财产来源不明案件受案数,人民检察院直接立案侦查徇私舞弊案件受案数,人民检察院直接立案侦查挪用公款案件受案数,人民检察院直接立案侦查案件受案数,人民检察院直接立案侦查渎职案件受案数,人民检察院直接立案侦查滥用职权案件受案数,人民检察院直接立案侦查玩忽职守案件受案数,人民检察院直接立案侦查贪污案件受案数,人民检察院直接立案侦查贪污贿赂案件受案数,人民检察院直接立案侦查贿赂案件受案数,人民检察院直接立案侦查集体私分案件受案数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,7574,4564,262,6571,14977,108828,19284,1752,3387,46219,89544,23046,476
1999年,6912,1937,294,6314,15895,103356,19801,2600,3975,44383,83555,20299,747
2000年,6068,1676,281,6593,14958,104427,20966,3808,4497,44874,83461,20771,901
2001年,4871,1556,251,6578,12562,97240,20710,4592,4669,41511,76530,19688,962
2002年,3972,1186,214,5754,10028,86187,18252,4408,4118,36821,67935,18698,988
2003年,3269,93,193,4354,8272,71032,15699,4047,4029,29276,55333,16476,1023
2004年,3291,55,227,3882,7691,68813,15395,4072,4150,27795,53418,16637,1013
2005年,2579,44,212,3274,7013,63053,14331,4125,4353,24382,48722,16224,847
2006年,2066,23,188,2510,5793,57867,12810,3911,4323,20477,45057,17889,687
2007年,1955,17,164,2292,5037,53978,12803,3933,4623,18164,41175,17264,529
2008年,1493,24,151,2121,4539,51961,12884,4300,4970,17102,39077,16840,421
2009年,1519,24,157,1926,3910,51868,12589,4148,4996,17019,39279,17794,375
2010年,1313,15,182,1669,3188,49969,11619,3871,4766,16185,38350,18458,322
2011年,951,11,136,1390,2813,46833,10981,3815,4825,14579,35852,18023,290
2012年,878,3,113,1457,2826,46964,11837,4327,5175,13460,35127,18472,253
2013年,1035,0,129,1164,2839,49044,0,4945,5454,14381,0,18885,212
2014年,1601,0,248,1583,3067,63341,0,6015,5853,18519,0,26166,289
