,人民检察院直接立案侦查其他渎职案件结案人数,人民检察院直接立案侦查其他贪污贿赂案件结案人数,人民检察院直接立案侦查巨额财产来源不明案件结案人数,人民检察院直接立案侦查徇私舞弊案件结案人数,人民检察院直接立案侦查挪用公款案件结案人数,人民检察院直接立案侦查案件结案人数,人民检察院直接立案侦查渎职案件结案人数,人民检察院直接立案侦查滥用职权案件结案人数,人民检察院直接立案侦查玩忽职守案件结案人数,人民检察院直接立案侦查贪污案件结案人数,人民检察院直接立案侦查贪污贿赂案件结案人数,人民检察院直接立案侦查贿赂案件结案人数,人民检察院直接立案侦查集体私分案件结案人数
1978年,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,
1998年,2276.0,1708.0,19.0,1367.0,8544.0,38883.0,5644.0,311.0,1690.0,14044.0,33239.0,8785.0,139.0
1999年,2103.0,222.0,21.0,1196.0,9803.0,39396.0,5862.0,745.0,1818.0,15304.0,33534.0,7932.0,252.0
2000年,2278.0,132.0,30.0,1678.0,10258.0,45720.0,7852.0,1456.0,2440.0,17553.0,37868.0,9530.0,365.0
2001年,1886.0,132.0,24.0,1860.0,9573.0,45910.0,8509.0,2003.0,2760.0,17349.0,37401.0,9896.0,427.0
2002年,1941.0,122.0,30.0,1926.0,8100.0,44777.0,8635.0,2070.0,2698.0,16851.0,36142.0,10561.0,478.0
2003年,1736.0,64.0,19.0,1587.0,6936.0,40639.0,7932.0,2014.0,2595.0,14979.0,32707.0,10197.0,512.0
2004年,1818.0,55.0,29.0,1414.0,6468.0,40431.0,7938.0,2006.0,2700.0,15014.0,32493.0,10325.0,602.0
2005年,1675.0,40.0,21.0,994.0,6057.0,38457.0,7348.0,1932.0,2747.0,14036.0,31109.0,10365.0,590.0
2006年,1350.0,39.0,27.0,982.0,5392.0,37723.0,7467.0,2114.0,3021.0,12798.0,30256.0,11475.0,525.0
2007年,1479.0,48.0,22.0,958.0,4945.0,39322.0,8108.0,2324.0,3347.0,13094.0,31214.0,12611.0,494.0
2008年,1278.0,32.0,15.0,1132.0,4711.0,41338.0,8991.0,2727.0,3854.0,13598.0,32347.0,13447.0,544.0
2009年,1403.0,23.0,15.0,1101.0,4340.0,41505.0,9480.0,2901.0,4075.0,13430.0,32025.0,13707.0,510.0
2010年,1546.0,30.0,16.0,1162.0,4037.0,46253.0,10694.0,3298.0,4688.0,14991.0,35559.0,15968.0,517.0
2011年,1291.0,22.0,15.0,1000.0,3456.0,43718.0,10404.0,3317.0,4796.0,14149.0,33314.0,15136.0,536.0
2012年,1264.0,25.0,8.0,1130.0,3607.0,48013.0,11737.0,4153.0,5190.0,15144.0,36276.0,16976.0,516.0
2013年,1526.0,,4.0,865.0,3547.0,49225.0,,4718.0,5680.0,15647.0,,16808.0,430.0
2014年,1497.0,,8.0,1024.0,3201.0,50816.0,,5024.0,5702.0,14845.0,,19106.0,409.0
