,农村传染病(不含呼吸道结核)粗死亡率位次,"农村先天畸形,变形和染色体异常粗死亡率位次",农村其他疾病粗死亡率位次,"农村内分泌,营养和代谢疾病粗死亡率位次",农村呼吸系统疾病粗死亡率位次,农村呼吸道结核粗死亡率位次,农村围生期疾病粗死亡率位次,农村女性传染病(不含呼吸道结核)粗死亡率位次,"农村女性先天畸形,变形和染色体异常粗死亡率位次",农村女性其他疾病粗死亡率位次,"农村女性内分泌,营养和代谢疾病粗死亡率位次",农村女性呼吸系统疾病粗死亡率位次,农村女性呼吸道结核粗死亡率位次,农村女性围生期疾病粗死亡率位次,"农村女性妊娠,分娩产褥期并发症粗死亡率位次",农村女性寄生虫病粗死亡率位次,农村女性心脏病粗死亡率位次,农村女性恶性肿瘤粗死亡率位次,农村女性损伤和中毒外部原因粗死亡率位次,农村女性泌尿生殖系统疾病粗死亡率位次,农村女性消化系统疾病粗死亡率位次,农村女性神经系统疾病粗死亡率位次,农村女性精神障碍粗死亡率位次,农村女性肌肉骨骼和结缔组织疾病粗死亡率位次,农村女性脑血管病粗死亡率位次,"农村女性血液,造血器官及免疫疾病粗死亡率位次",农村女性诊断不明粗死亡率位次,"农村妊娠,分娩产褥期并发症粗死亡率位次",农村寄生虫病粗死亡率位次,农村心脏病粗死亡率位次,农村恶性肿瘤粗死亡率位次,农村损伤和中毒外部原因粗死亡率位次,农村泌尿生殖系统疾病粗死亡率位次,农村消化系统疾病粗死亡率位次,农村男性传染病(不含呼吸道结核)粗死亡率位次,"农村男性先天畸形,变形和染色体异常粗死亡率位次",农村男性其他疾病粗死亡率位次,"农村男性内分泌,营养和代谢疾病粗死亡率位次",农村男性呼吸系统疾病粗死亡率位次,农村男性呼吸道结核粗死亡率位次,农村男性围生期疾病粗死亡率位次,农村男性寄生虫病粗死亡率位次,农村男性心脏病粗死亡率位次,农村男性恶性肿瘤粗死亡率位次,农村男性损伤和中毒外部原因粗死亡率位次,农村男性泌尿生殖系统疾病粗死亡率位次,农村男性消化系统疾病粗死亡率位次,农村男性神经系统疾病粗死亡率位次,农村男性精神障碍粗死亡率位次,农村男性肌肉骨骼和结缔组织疾病粗死亡率位次,农村男性脑血管病粗死亡率位次,"农村男性血液,造血器官及免疫疾病粗死亡率位次",农村男性诊断不明粗死亡率位次,农村神经系统疾病粗死亡率位次,农村精神障碍粗死亡率位次,农村肌肉骨骼和结缔组织疾病粗死亡率位次,农村脑血管病粗死亡率位次,"农村血液,造血器官及免疫疾病粗死亡率位次",农村诊断不明粗死亡率位次
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,11.0,16.0,8.0,7.0,4.0,15.0,14.0,12.0,14.0,8.0,6.0,4.0,17.0,15.0,19.0,20.0,3.0,2.0,5.0,9.0,7.0,10.0,11.0,16.0,1.0,18.0,13.0,19.0,20.0,3.0,1.0,5.0,9.0,6.0,9.0,16.0,10.0,7.0,4.0,12.0,14.0,19.0,3.0,1.0,5.0,8.0,6.0,11.0,15.0,17.0,2.0,18.0,13.0,10.0,12.0,17.0,2.0,18.0,13.0
2010年,11.0,15.0,7.0,8.0,4.0,16.0,14.0,13.0,15.0,6.0,7.0,4.0,16.0,14.0,19.0,20.0,2.0,3.0,5.0,9.0,8.0,11.0,12.0,17.0,1.0,18.0,10.0,19.0,20.0,3.0,2.0,5.0,9.0,6.0,10.0,15.0,7.0,8.0,4.0,13.0,13.0,18.0,3.0,1.0,5.0,9.0,6.0,12.0,14.0,17.0,2.0,16.0,11.0,12.0,13.0,18.0,1.0,17.0,10.0
2011年,11.0,16.0,8.0,7.0,4.0,15.0,13.0,12.0,15.0,7.0,6.0,4.0,17.0,14.0,19.0,20.0,2.0,3.0,5.0,9.0,8.0,10.0,11.0,16.0,1.0,18.0,13.0,19.0,20.0,3.0,1.0,5.0,9.0,6.0,10.0,16.0,9.0,7.0,4.0,12.0,14.0,19.0,3.0,1.0,5.0,8.0,6.0,11.0,13.0,17.0,2.0,18.0,15.0,10.0,12.0,17.0,2.0,18.0,14.0
2012年,11.0,14.0,6.0,8.0,4.0,16.0,13.0,11.0,14.0,6.0,8.0,4.0,17.0,13.0,19.0,20.0,2.0,3.0,5.0,10.0,7.0,9.0,12.0,16.0,1.0,18.0,15.0,19.0,20.0,3.0,1.0,5.0,9.0,7.0,9.0,15.0,6.0,8.0,4.0,14.0,12.0,19.0,3.0,1.0,5.0,10.0,7.0,11.0,13.0,17.0,2.0,18.0,16.0,10.0,12.0,17.0,2.0,18.0,15.0
2013年,8.0,13.0,,7.0,4.0,,12.0,10.0,13.0,,6.0,4.0,,12.0,16.0,17.0,1.0,3.0,5.0,9.0,7.0,8.0,11.0,14.0,2.0,15.0,,16.0,17.0,3.0,2.0,5.0,9.0,6.0,7.0,13.0,,8.0,4.0,,11.0,16.0,3.0,1.0,5.0,9.0,6.0,10.0,12.0,14.0,2.0,15.0,,10.0,11.0,14.0,1.0,15.0,
2014年,8.0,15.0,,7.0,4.0,,14.0,10.0,14.0,,6.0,4.0,,12.0,16.0,17.0,1.0,3.0,5.0,9.0,7.0,8.0,11.0,13.0,2.0,15.0,,18.0,19.0,3.0,1.0,5.0,9.0,6.0,8.0,13.0,,7.0,4.0,,11.0,16.0,3.0,1.0,5.0,9.0,6.0,10.0,12.0,14.0,2.0,15.0,,10.0,11.0,16.0,2.0,17.0,
