,社区卫生服务中心入院人数,社区卫生服务中心出院者平均住院日,社区卫生服务中心病床使用率,社区卫生服务中心诊疗人次,社区卫生服务站诊疗人次
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,10.6091,19.1,68.1,0.35878718,1.11623067
2003年,10.2844,23.76,67.1,0.38043852,0.36119003
2004年,15.1965,20.97,61.2,0.461559,0.509552
2005年,26.6215,17.18,60.68,0.593852,0.628145
2006年,43.6288,15.51,57.94,0.828548,0.937894
2007年,74.3186,13.1,59.6,1.271245,0.987497
2008年,103.2788,13.41,58.67,1.72473,0.842509
2009年,164.2427,10.55,59.79,2.608024,1.161725
2010年,218.0577,10.4,56.07,3.474041,1.371114
2011年,247.3426,10.15,54.35,4.094995,1.370379
2012年,268.6554,10.05,55.47,4.547511,1.43936
2013年,292.063,9.83,57.02,5.078859,1.492119
2014年,298.0571,9.8580464199,55.6220400868,5.36187933,1.49119766
