,每万人拥有农村卫生技术人员数,每万人拥有农村执业(助理)医师数,每万人拥有农村注册护士数,每万人拥有卫生技术人员数,每万人拥有城市卫生技术人员数,每万人拥有城市执业(助理)医师数,每万人拥有城市注册护士数,每万人拥有执业(助理)医师数,每万人拥有注册护士数
1978年,,,,25.7,,,,10.8,6.1
1979年,,,,,,,,,
1980年,18.1,7.6,2.0,28.5,80.3,32.2,18.3,11.7,4.7
1981年,,,,,,,,,
1982年,,,,,,,,,
1983年,,,,,,,,,
1984年,,,,,,,,,
1985年,20.9,8.5,3.0,32.8,79.2,33.5,18.5,13.6,6.1
1986年,,,,,,,,13.4,
1987年,,,,,,,,13.6,
1988年,,,,,,,,14.6,
1989年,,,,,,,,15.6,
1990年,21.5,9.8,4.3,34.5,65.9,29.5,19.1,15.6,8.6
1991年,,,,,,,,15.6,
1992年,,,,,,,,15.7,
1993年,,,,,,,,15.8,
1994年,,,,,,,,16.0,
1995年,23.2,10.7,4.9,35.9,53.6,23.9,15.9,16.2,9.5
1996年,,,,36.1,,,,16.2,9.7
1997年,,,,36.5,,,,16.5,9.9
1998年,23.5,11.1,5.1,36.4,53.0,23.4,16.4,16.5,10.0
1999年,23.8,11.4,5.2,36.4,52.4,23.3,16.4,16.7,10.2
2000年,24.1,11.7,5.4,36.3,51.7,23.1,16.4,16.8,10.2
2001年,23.8,11.7,5.4,36.2,51.5,23.2,16.5,16.9,10.3
2002年,0.0,0.0,0.0,34.1,0.0,0.0,0.0,14.7,10.0
2003年,22.5844903299,10.35333497,4.99836605375,34.7591289286,48.8164489675,21.2513557716,15.8709184696,15.4112670342,10.0444778648
2004年,22.4379367945,10.4135992375,5.03649941434,35.3120175675,49.9096840418,21.7773547369,16.26712557,15.7389942649,10.2995060574
2005年,26.9,12.6,6.5,35.0,58.2,24.6,21.0,15.6,10.3
2006年,27.0,12.6,6.6,36.0,60.9,25.6,22.2,16.0,10.9
2007年,26.9,12.3,7.0,37.2,64.4,26.1,24.2,16.1,11.8
2008年,28.0,12.6,7.6,39.0,66.8,26.8,25.4,16.6,12.7
2009年,29.4,13.1,8.1,41.5,71.5,28.3,28.2,17.5,13.9
2010年,30.4,13.2,8.9,43.9,76.2,29.7,30.9,18.0,15.3
2011年,26.6,11.0,7.9,46.1,66.8,26.2,26.2,18.3,16.7
2012年,34.1,14.0,10.9,49.4,85.4,31.9,36.5,19.4,18.5
2013年,36.4,14.8,12.2,52.7,91.8,33.9,40.0,20.6,20.5
2014年,37.731449533,15.070834388,13.068889316,55.633119504,96.978979462,35.397220078,42.9547731,21.230113178,22.049410625
