,入院人数,医疗卫生机构住院病人手术人次,医疗卫生机构出院人数,医疗卫生机构危重病人抢救人次,医疗卫生机构危重病人抢救成功率,医疗卫生机构每百门急诊入院人数
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,,,,,,
2005年,,,,,,
2006年,,,,,,
2007年,,,,,,
2008年,11482.8056,,,,,
2009年,13256.2637,,,,,
2010年,14173.5485,2904.338,14137.9899,657.4068,91.9521367896,3.97811101967
2011年,15297.6533,3272.8749,15264.8247,699.9242,91.3875531093,3.9793865933
2012年,17857.0984,3690.2542,17840.3343,,,4.22528526449
2013年,19215.4557,3982.7592,19119.931,,,4.25077917423
2014年,20441.1818,4382.9194,20365.7291,,,4.2440240432
