,县级区划数,参加新型农村合作医疗人数,开展新型农村合作医疗县(区、市)数,新型农村合作医疗人均筹资,新型农村合作医疗参合率,新型农村合作医疗当年基金支出,新型农村合作医疗本年度筹资总额,新型农村合作医疗补偿受益人次
1978年,2653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,2690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,2775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,2797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,2785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,2814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,2826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,2830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,2826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,2831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,2829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,2833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,2833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,2833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,2835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,2845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,2849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,2859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,2862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,2863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,2858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,2860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,2861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,2862.0,0.8,333.0,50.3625,75.2,26.37,0.0,0.76
2005年,2862.0,1.79,678.0,42.094972067,75.66,61.75,0.0,1.22
2006年,2860.0,4.1,1451.0,52.0951219512,80.66,155.8,0.0,2.72
2007年,2859.0,7.26,2451.0,58.9490358127,86.2,346.63,0.0,4.53
2008年,2859.0,8.15,2729.0,96.3,91.5,662.3,784.583652799,5.85
2009年,2858.0,8.33,2716.0,113.4,94.2,922.9,0.0,7.59
2010年,2856.0,8.36,2678.0,156.6,96.0,1187.8,1308.33464,10.87
2011年,2853.0,8.32,2637.0,246.21,97.48,1710.19,2047.56,13.15
2012年,2852.0,8.05,2566.0,308.5,98.26,2408.0,2484.7,17.45
2013年,2853.0,8.0209,2489.0,370.59,99.0,2908.0,2972.48,19.421878
2014年,2854.0,7.3627332,0.0,410.891502438,98.9,2890.4,3025.2845066,16.52206115
