,农村医疗卫生机构床位数,农村每万人医疗机构床位数,医疗卫生机构床位数,医院、卫生院床位数,城市医疗卫生机构床位数,城市每万人医疗机构床位数,每万人医疗机构床位数,每万人医院和卫生院床位数,每万农业人口乡镇卫生院床位数
1978年,0.0,0.0,204.17,109.3,0.0,0.0,0.0,19.3,0.0
1979年,0.0,0.0,212.8,193.2,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,218.44,218.4423,0.0,0.0,0.0,20.2,9.5
1981年,0.0,0.0,223.4,201.7,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,228.0,205.4,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,234.2,211.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,241.2,216.6,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,248.71,222.92,0.0,0.0,0.0,21.4,8.6
1986年,0.0,0.0,256.3,229.7,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,268.5,240.5,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,279.5,250.3,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,286.7,253.8,0.0,0.0,0.0,22.8,0.0
1990年,0.0,0.0,292.54,262.41,0.0,0.0,0.0,23.2,8.1
1991年,0.0,0.0,299.2,265.5,0.0,0.0,0.0,23.2,0.0
1992年,0.0,0.0,304.9,270.9,0.0,0.0,0.0,23.4,0.0
1993年,0.0,0.0,309.9,276.7,0.0,0.0,0.0,23.6,0.0
1994年,0.0,0.0,313.4,280.3,0.0,0.0,0.0,23.6,0.0
1995年,0.0,0.0,314.06,283.61,0.0,0.0,0.0,23.9,8.1
1996年,0.0,0.0,310.0,283.4,0.0,0.0,0.0,23.4,0.0
1997年,0.0,0.0,313.5,286.9,0.0,0.0,0.0,23.5,0.0
1998年,0.0,0.0,314.3,287.8,0.0,0.0,0.0,24.0,0.0
1999年,0.0,0.0,315.9,289.1,0.0,0.0,0.0,23.9,0.0
2000年,0.0,0.0,317.7,294.79,0.0,0.0,0.0,23.8,8.0
2001年,0.0,0.0,320.1,290.2,0.0,0.0,0.0,23.9,0.0
2002年,0.0,0.0,313.6,290.7153,0.0,0.0,24.9,23.2134805358,7.43395746967
2003年,0.0,0.0,316.4,295.516,0.0,0.0,24.9,23.4470778334,7.59232566732
2004年,0.0,0.0,326.8,304.5847,0.0,0.0,25.6,23.9759082003,7.60956602462
2005年,0.0,0.0,336.75,313.493,0.0,0.0,26.2,24.5235685294,7.80166006544
2006年,0.0,0.0,351.18,327.071,0.0,0.0,27.0349503797,25.2925194231,7.97890951582
2007年,186.9768,20.0059461412,370.1076,343.826,183.1308,49.0027797269,28.2887400085,26.2799367594,8.514073096
2008年,207.5126,22.0,403.8707,374.8245,196.3581,51.7,30.4642533868,28.2732779169,9.6
2009年,229.031,24.1,441.6612,408.0662,212.6302,55.4,33.1527698544,30.6310013511,10.5
2010年,248.4534,26.0,478.6831,440.1512,230.2297,59.4,35.7597134341,32.8812126011,11.2
2011年,268.4667,28.0,515.9889,474.233,247.5222,62.4,38.3620608899,35.2576484146,11.6
2012年,299.1372,31.135888889,572.4775,527.13,273.3403,68.8418296904,42.4,38.996404634,12.4180544161
2013年,323.3426,33.4532165345,618.1891,0.0,294.8465,73.5811958919,45.5,0.0,12.9735048687
2014年,343.1334,35.3998566857,660.1214,0.0,316.988,78.3723163586,48.4506994701,0.0,13.377736369
