,医疗卫生机构急诊抢救成功率,医疗卫生机构急诊病死率,医疗卫生机构观察室留观病例数,医疗卫生机构观察室病死率,医疗卫生机构诊疗人次,医疗卫生机构门急诊诊疗人次数,医疗卫生机构门诊健康检查人数
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,,,,,,,
1991年,,,,,,,
1992年,,,,,,,
1993年,,,,,,,
1994年,,,,,,,
1995年,,,,,,,
1996年,,,,,,,
1997年,,,,,,,
1998年,,,,,,,
1999年,,,,,,,
2000年,,,,,,,
2001年,,,,,,,
2002年,,,,,,,
2003年,,,,,,,
2004年,,,,,,,
2005年,,,,,,,
2006年,,,,,,,
2007年,,,,,,,
2008年,,,,,49.00897,,
2009年,,,,,54.87671412,,
2010年,96.55,0.08,6733.2324,0.05,58.37615842,55.21322052,28705.2062
2011年,95.7721591499,0.0720681973026,7028.3024,0.0497701977081,62.71226278,59.44811444,34369.5968
2012年,,0.0685083706693,6498.0116,0.0545166770709,68.88329138,65.29935754,36702.6769
2013年,,0.0682669403042,6410.3939,0.0598153570563,73.14009678,69.60524448,38832.5749
2014年,,0.0658417676,5977.0825,0.060179862,76.01866343,72.5864332,37305.5601
