,专用设备制造业规模以上工业企业国家资本金,仪器仪表制造业规模以上工业企业国家资本金,其他制造业规模以上工业企业国家资本金,其他采矿业规模以上工业企业国家资本金,农副食品加工业规模以上工业企业国家资本金,化学原料和化学制品制造业规模以上工业企业国家资本金,化学纤维制造业规模以上工业企业国家资本金,医药制造业规模以上工业企业国家资本金,印刷和记录媒介复制业规模以上工业企业国家资本金,家具制造业规模以上工业企业国家资本金,废弃资源综合利用业规模以上工业企业国家资本金,开采辅助活动规模以上工业企业国家资本金,文教、工美、体育和娱乐用品制造业规模以上工业企业国家资本金,有色金属冶炼和压延加工业规模以上工业企业国家资本金,有色金属矿采选业规模以上工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业规模以上工业企业国家资本金,橡胶和塑料制品业规模以上工业企业国家资本金,水的生产和供应业规模以上工业企业国家资本金,汽车制造业规模以上工业企业国家资本金,烟草制品业规模以上工业企业国家资本金,煤炭开采和洗选业规模以上工业企业国家资本金,燃气生产和供应业规模以上工业企业国家资本金,电力、热力生产和供应业规模以上工业企业国家资本金,电气机械和器材制造业规模以上工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业国家资本金,石油加工、炼焦和核燃料加工业规模以上工业企业国家资本金,石油和天然气开采业规模以上工业企业国家资本金,纺织业规模以上工业企业国家资本金,纺织服装、服饰业规模以上工业企业国家资本金,规模以上工业企业国家资本金,计算机、通信和其他电子设备制造业规模以上工业企业国家资本金,通用设备制造业规模以上工业企业国家资本金,造纸和纸制品业规模以上工业企业国家资本金,酒、饮料和精制茶制造业规模以上工业企业国家资本金,金属制品、机械和设备修理业规模以上工业企业国家资本金,金属制品业规模以上工业企业国家资本金,铁路、船舶、航空航天和其他运输设备规模以上工业企业国家资本金,非金属矿物制品业规模以上工业企业国家资本金,非金属矿采选业规模以上工业企业国家资本金,食品制造业规模以上工业企业国家资本金,黑色金属冶炼和压延加工业规模以上工业企业国家资本金,黑色金属矿采选业规模以上工业企业国家资本金
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,427.0487,94.99253,57.24056,0.05512,143.70388,1313.69914,54.82926,215.57071,79.00096,5.67048,10.93431,433.6624,13.76535,1050.38294,158.83052,20.50705,103.57068,1024.51556,928.43363,241.55316,1920.9906,255.04395,8073.85416,368.62288,5.41594,2164.13241,3705.98023,93.26258,16.58645,29227.92565,1291.95187,403.82751,159.17644,175.58515,109.1712,348.73318,704.7461,594.31785,95.12486,61.65465,1645.12218,656.65852
2013年,724.52,92.82,42.23,0.14,181.18,1797.95,70.66,283.42,106.91,8.19,20.69,528.06,44.42,1248.72,173.47,17.68,126.06,1116.01,1063.19,373.62,2294.95,357.34,10302.61,509.53,4.54,2031.68,4486.94,98.43,22.2,34694.96,677.73,523.31,220.85,192.18,118.94,363.4,1071.35,773.99,119.24,91.86,1759.43,654.51
2014年,747.12,122.02,81.13,0.04,205.91,1997.08,47.04,238.52,127.54,7.35,13.06,571.01,37.31,1379.29,222.59,25.02,148.44,1233.48,1219.87,346.55,2532.98,458.34,11468.97,561.86,5.78,2335.28,4902.26,114.82,27.69,39470.22,1009.86,640.7,213.41,355.82,126.67,415.17,1309.64,981.98,112.64,90.22,2251.69,784.07
