,专用设备制造业规模以上工业企业港澳台资本金,仪器仪表制造业规模以上工业企业港澳台资本金,其他制造业规模以上工业企业港澳台资本金,其他采矿业规模以上工业企业港澳台资本金,农副食品加工业规模以上工业企业港澳台资本金,化学原料和化学制品制造业规模以上工业企业港澳台资本金,化学纤维制造业规模以上工业企业港澳台资本金,医药制造业规模以上工业企业港澳台资本金,印刷和记录媒介复制业规模以上工业企业港澳台资本金,家具制造业规模以上工业企业港澳台资本金,废弃资源综合利用业规模以上工业企业港澳台资本金,开采辅助活动规模以上工业企业港澳台资本金,文教、工美、体育和娱乐用品制造业规模以上工业企业港澳台资本金,有色金属冶炼和压延加工业规模以上工业企业港澳台资本金,有色金属矿采选业规模以上工业企业港澳台资本金,木材加工和木、竹、藤、棕、草制品业规模以上工业企业港澳台资本金,橡胶和塑料制品业规模以上工业企业港澳台资本金,水的生产和供应业规模以上工业企业港澳台资本金,汽车制造业规模以上工业企业港澳台资本金,烟草制品业规模以上工业企业港澳台资本金,煤炭开采和洗选业规模以上工业企业港澳台资本金,燃气生产和供应业规模以上工业企业港澳台资本金,电力、热力生产和供应业规模以上工业企业港澳台资本金,电气机械和器材制造业规模以上工业企业港澳台资本金,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业港澳台资本金,石油加工、炼焦和核燃料加工业规模以上工业企业港澳台资本金,石油和天然气开采业规模以上工业企业港澳台资本金,纺织业规模以上工业企业港澳台资本金,纺织服装、服饰业规模以上工业企业港澳台资本金,规模以上工业企业港澳台资本金,计算机、通信和其他电子设备制造业规模以上工业企业港澳台资本金,通用设备制造业规模以上工业企业港澳台资本金,造纸和纸制品业规模以上工业企业港澳台资本金,酒、饮料和精制茶制造业规模以上工业企业港澳台资本金,金属制品、机械和设备修理业规模以上工业企业港澳台资本金,金属制品业规模以上工业企业港澳台资本金,铁路、船舶、航空航天和其他运输设备规模以上工业企业港澳台资本金,非金属矿物制品业规模以上工业企业港澳台资本金,非金属矿采选业规模以上工业企业港澳台资本金,食品制造业规模以上工业企业港澳台资本金,黑色金属冶炼和压延加工业规模以上工业企业港澳台资本金,黑色金属矿采选业规模以上工业企业港澳台资本金
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,402.90439,109.04975,54.07638,,236.80001,840.31682,203.84178,203.32188,164.67522,131.3972,17.12849,11.00864,255.56207,270.86633,7.45583,45.65667,7826.73864,68.26561,305.55509,0.14,14.27532,87.07292,407.25845,774.75662,284.52944,67.83749,1.16549,636.84657,453.78785,18857.44647,2244.41971,353.70079,379.01318,231.24798,18.14246,478.77355,153.40506,603.91103,6.57756,227.16529,272.45362,6.34529
2013年,407.54,120.4,69.55,0.0,236.78,942.53,283.58,226.16,167.63,157.75,32.12,11.01,284.01,355.8,10.7,68.11,571.58,83.31,354.62,0.14,43.45,127.73,541.26,764.07,294.21,79.49,1.87,645.49,471.51,12366.09,2182.11,404.68,419.06,245.66,13.0,473.31,157.32,567.74,7.22,247.59,290.91,5.11
2014年,441.18,125.68,46.38,0.0,219.41,1004.36,236.82,218.63,171.97,128.19,29.39,12.24,261.95,368.03,9.62,57.24,565.37,80.6,362.23,0.14,9.24,180.61,510.47,824.85,272.81,123.0,2.05,620.55,453.5,12408.18,2266.56,449.44,302.35,254.66,11.1,501.85,92.68,610.05,7.0,266.66,296.87,12.46
