,专用设备制造业规模以上工业企业存货,仪器仪表制造业规模以上工业企业存货,其他制造业规模以上工业企业存货,其他采矿业规模以上工业企业存货,农副食品加工业规模以上工业企业存货,化学原料和化学制品制造业规模以上工业企业存货,化学纤维制造业规模以上工业企业存货,医药制造业规模以上工业企业存货,印刷和记录媒介复制业规模以上工业企业存货,家具制造业规模以上工业企业存货,废弃资源综合利用业规模以上工业企业存货,开采辅助活动规模以上工业企业存货,文教、工美、体育和娱乐用品制造业规模以上工业企业存货,有色金属冶炼和压延加工业规模以上工业企业存货,有色金属矿采选业规模以上工业企业存货,木材加工和木、竹、藤、棕、草制品业规模以上工业企业存货,橡胶和塑料制品业规模以上工业企业存货,水的生产和供应业规模以上工业企业存货,汽车制造业规模以上工业企业存货,烟草制品业规模以上工业企业存货,煤炭开采和洗选业规模以上工业企业存货,燃气生产和供应业规模以上工业企业存货,电力、热力生产和供应业规模以上工业企业存货,电气机械和器材制造业规模以上工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业存货,石油加工、炼焦和核燃料加工业规模以上工业企业存货,石油和天然气开采业规模以上工业企业存货,纺织业规模以上工业企业存货,纺织服装、服饰业规模以上工业企业存货,规模以上工业企业存货,计算机、通信和其他电子设备制造业规模以上工业企业存货,通用设备制造业规模以上工业企业存货,造纸和纸制品业规模以上工业企业存货,酒、饮料和精制茶制造业规模以上工业企业存货,金属制品、机械和设备修理业规模以上工业企业存货,金属制品业规模以上工业企业存货,铁路、船舶、航空航天和其他运输设备规模以上工业企业存货,非金属矿物制品业规模以上工业企业存货,非金属矿采选业规模以上工业企业存货,食品制造业规模以上工业企业存货,黑色金属冶炼和压延加工业规模以上工业企业存货,黑色金属矿采选业规模以上工业企业存货
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,4339.39651,919.33445,257.56443,0.68874,3876.11093,5555.66371,747.01444,1942.64176,408.77776,564.41323,243.29136,319.75271,1214.73924,4992.23959,378.88391,644.09116,2070.8691,55.25287,4381.59375,2720.62127,1990.86542,141.74198,1229.97656,5688.59036,911.66254,3666.96256,285.2029,3159.39149,1733.67174,88324.65176,6435.08006,5296.82505,1143.56345,1760.60548,133.4439,2863.76684,3174.15759,3426.6207,176.7927,1146.1625,7834.73075,491.89627
2013年,4753.36,995.24,389.9,0.58,4435.25,5965.54,789.99,2240.2,484.45,658.86,262.51,221.53,1441.11,5306.56,407.49,754.09,2373.21,74.23,4763.75,3376.74,2219.16,156.09,1213.18,6130.9,993.91,4073.82,289.46,3466.14,1874.99,97119.22,6909.79,5762.92,1153.99,2098.58,134.17,3197.47,3315.24,3838.01,212.47,1268.41,8572.88,543.05
2014年,4998.08,1090.94,429.43,0.58,4809.32,6392.41,756.85,2573.42,524.95,719.69,258.35,208.01,1572.48,5413.54,434.97,806.99,2431.01,87.26,5614.8,3858.87,2467.71,173.76,1342.02,6453.97,1079.54,3472.5,292.99,3535.36,1931.46,102874.39,7859.88,6289.56,1199.29,2363.39,118.28,3435.13,3619.01,4107.15,249.82,1440.18,7856.73,604.7
