,专用设备制造业规模以上工业企业固定资产合计,仪器仪表制造业规模以上工业企业固定资产合计,其他制造业规模以上工业企业固定资产合计,其他采矿业规模以上工业企业固定资产合计,农副食品加工业规模以上工业企业固定资产合计,化学原料和化学制品制造业规模以上工业企业固定资产合计,化学纤维制造业规模以上工业企业固定资产合计,医药制造业规模以上工业企业固定资产合计,印刷和记录媒介复制业规模以上工业企业固定资产合计,家具制造业规模以上工业企业固定资产合计,废弃资源综合利用业规模以上工业企业固定资产合计,开采辅助活动规模以上工业企业固定资产合计,文教、工美、体育和娱乐用品制造业规模以上工业企业固定资产合计,有色金属冶炼和压延加工业规模以上工业企业固定资产合计,有色金属矿采选业规模以上工业企业固定资产合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业固定资产合计,橡胶和塑料制品业规模以上工业企业固定资产合计,水的生产和供应业规模以上工业企业固定资产合计,汽车制造业规模以上工业企业固定资产合计,烟草制品业规模以上工业企业固定资产合计,煤炭开采和洗选业规模以上工业企业固定资产合计,燃气生产和供应业规模以上工业企业固定资产合计,电力、热力生产和供应业规模以上工业企业固定资产合计,电气机械和器材制造业规模以上工业企业固定资产合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业固定资产合计,石油加工、炼焦和核燃料加工业规模以上工业企业固定资产合计,石油和天然气开采业规模以上工业企业固定资产合计,纺织业规模以上工业企业固定资产合计,纺织服装、服饰业规模以上工业企业固定资产合计,规模以上工业企业固定资产合计,计算机、通信和其他电子设备制造业规模以上工业企业固定资产合计,通用设备制造业规模以上工业企业固定资产合计,造纸和纸制品业规模以上工业企业固定资产合计,酒、饮料和精制茶制造业规模以上工业企业固定资产合计,金属制品、机械和设备修理业规模以上工业企业固定资产合计,金属制品业规模以上工业企业固定资产合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业固定资产合计,非金属矿物制品业规模以上工业企业固定资产合计,非金属矿采选业规模以上工业企业固定资产合计,食品制造业规模以上工业企业固定资产合计,黑色金属冶炼和压延加工业规模以上工业企业固定资产合计,黑色金属矿采选业规模以上工业企业固定资产合计
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,6430.13955,1275.74707,523.97923,6.69951,7947.0636,21159.12971,2002.88608,4451.43974,1306.45706,1098.09542,342.61895,983.24831,1323.24773,9509.95932,1584.75918,1810.53784,5536.38714,3379.32922,9891.16634,1186.83938,16056.9011,1999.37709,58753.86965,9516.42237,1487.67381,8899.12644,11527.25539,7438.29526,2743.51228,283950.90571,11456.67618,8056.12296,4765.71159,3600.17119,364.65222,6101.7826,4686.64832,14727.75215,985.41929,3487.40058,23124.78723,2421.61763
2013年,7612.51,1446.05,624.62,9.2,9452.21,24558.44,2122.89,5370.51,1575.13,1271.4,385.02,1055.0,1649.44,10906.05,1790.45,2099.71,6482.12,3765.01,11204.92,1236.24,18107.7,2138.81,63792.39,10627.1,1757.38,8927.19,11702.55,7934.12,3105.79,316231.1,12836.46,9201.48,5133.92,4199.19,378.26,7011.32,4978.47,16778.62,1164.97,4039.02,24965.19,2834.22
2014年,8700.11,1631.22,689.42,6.32,10998.92,27819.69,2254.59,6280.29,1806.2,1471.35,469.81,984.1,1979.47,12486.78,2106.7,2456.6,7082.27,3969.27,13434.26,1288.01,19681.14,2837.01,72624.9,11464.57,1913.4,9955.32,15037.21,8575.47,3463.44,355788.06,13689.97,10243.68,5323.95,4690.82,332.57,9228.89,5248.5,18498.36,1333.62,4620.13,26004.52,3105.19
