,专用设备制造业规模以上工业企业应付帐款,仪器仪表制造业规模以上工业企业应付帐款,其他制造业规模以上工业企业应付帐款,其他采矿业规模以上工业企业应付帐款,农副食品加工业规模以上工业企业应付帐款,化学原料和化学制品制造业规模以上工业企业应付帐款,化学纤维制造业规模以上工业企业应付帐款,医药制造业规模以上工业企业应付帐款,印刷和记录媒介复制业规模以上工业企业应付帐款,家具制造业规模以上工业企业应付帐款,废弃资源综合利用业规模以上工业企业应付帐款,开采辅助活动规模以上工业企业应付帐款,文教、工美、体育和娱乐用品制造业规模以上工业企业应付帐款,有色金属冶炼和压延加工业规模以上工业企业应付帐款,有色金属矿采选业规模以上工业企业应付帐款,木材加工和木、竹、藤、棕、草制品业规模以上工业企业应付帐款,橡胶和塑料制品业规模以上工业企业应付帐款,水的生产和供应业规模以上工业企业应付帐款,汽车制造业规模以上工业企业应付帐款,烟草制品业规模以上工业企业应付帐款,煤炭开采和洗选业规模以上工业企业应付帐款,燃气生产和供应业规模以上工业企业应付帐款,电力、热力生产和供应业规模以上工业企业应付帐款,电气机械和器材制造业规模以上工业企业应付帐款,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业应付帐款,石油加工、炼焦和核燃料加工业规模以上工业企业应付帐款,石油和天然气开采业规模以上工业企业应付帐款,纺织业规模以上工业企业应付帐款,纺织服装、服饰业规模以上工业企业应付帐款,规模以上工业企业应付帐款,计算机、通信和其他电子设备制造业规模以上工业企业应付帐款,通用设备制造业规模以上工业企业应付帐款,造纸和纸制品业规模以上工业企业应付帐款,酒、饮料和精制茶制造业规模以上工业企业应付帐款,金属制品、机械和设备修理业规模以上工业企业应付帐款,金属制品业规模以上工业企业应付帐款,铁路、船舶、航空航天和其他运输设备规模以上工业企业应付帐款,非金属矿物制品业规模以上工业企业应付帐款,非金属矿采选业规模以上工业企业应付帐款,食品制造业规模以上工业企业应付帐款,黑色金属冶炼和压延加工业规模以上工业企业应付帐款,黑色金属矿采选业规模以上工业企业应付帐款
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,3778.31423,858.97473,215.84218,0.51264,1951.26909,5012.51691,486.02631,1180.83968,428.77248,404.24136,230.84125,544.30226,652.72493,2483.60507,203.19052,279.64497,1729.68828,194.98843,7362.53576,742.29323,3839.37298,341.2075,7044.05782,6813.62502,640.60034,2872.29628,1597.60426,1566.17623,1151.83612,91417.25996,12526.5237,4569.18106,1119.94748,881.6429,139.76475,2122.14048,3081.36723,3619.13939,145.41296,1004.03285,7005.01476,595.19154
2013年,4385.91,949.82,284.83,0.45,2253.26,5793.15,492.22,1434.32,518.33,496.36,252.81,690.25,924.57,3134.81,279.62,324.86,1926.93,227.8,9336.78,852.41,4530.83,398.53,7454.27,7714.86,706.27,3210.4,2001.41,1749.89,1260.54,104105.91,13245.78,5089.06,1250.17,1005.52,153.57,2337.12,3118.53,4324.3,178.66,1078.3,7990.98,747.44
2014年,4412.87,1078.82,307.38,0.43,2387.32,6545.66,508.5,1683.66,557.1,517.16,234.8,646.82,1232.76,3459.67,300.98,365.27,2070.0,254.89,10525.57,787.41,4279.49,512.77,8459.29,8146.69,697.62,3133.37,1874.11,1814.68,1327.54,112819.42,15828.12,5458.81,1244.1,1100.37,154.95,2604.23,3241.64,4777.92,199.95,1184.58,8090.48,811.66
