,专用设备制造业规模以上工业企业应付帐款,仪器仪表制造业规模以上工业企业应付帐款,其他制造业规模以上工业企业应付帐款,其他采矿业规模以上工业企业应付帐款,农副食品加工业规模以上工业企业应付帐款,化学原料和化学制品制造业规模以上工业企业应付帐款,化学纤维制造业规模以上工业企业应付帐款,医药制造业规模以上工业企业应付帐款,印刷和记录媒介复制业规模以上工业企业应付帐款,家具制造业规模以上工业企业应付帐款,废弃资源综合利用业规模以上工业企业应付帐款,开采辅助活动规模以上工业企业应付帐款,文教、工美、体育和娱乐用品制造业规模以上工业企业应付帐款,有色金属冶炼和压延加工业规模以上工业企业应付帐款,有色金属矿采选业规模以上工业企业应付帐款,木材加工和木、竹、藤、棕、草制品业规模以上工业企业应付帐款,橡胶和塑料制品业规模以上工业企业应付帐款,水的生产和供应业规模以上工业企业应付帐款,汽车制造业规模以上工业企业应付帐款,烟草制品业规模以上工业企业应付帐款,煤炭开采和洗选业规模以上工业企业应付帐款,燃气生产和供应业规模以上工业企业应付帐款,电力、热力生产和供应业规模以上工业企业应付帐款,电气机械和器材制造业规模以上工业企业应付帐款,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业应付帐款,石油加工、炼焦和核燃料加工业规模以上工业企业应付帐款,石油和天然气开采业规模以上工业企业应付帐款,纺织业规模以上工业企业应付帐款,纺织服装、服饰业规模以上工业企业应付帐款,规模以上工业企业应付帐款,计算机、通信和其他电子设备制造业规模以上工业企业应付帐款,通用设备制造业规模以上工业企业应付帐款,造纸和纸制品业规模以上工业企业应付帐款,酒、饮料和精制茶制造业规模以上工业企业应付帐款,金属制品、机械和设备修理业规模以上工业企业应付帐款,金属制品业规模以上工业企业应付帐款,铁路、船舶、航空航天和其他运输设备规模以上工业企业应付帐款,非金属矿物制品业规模以上工业企业应付帐款,非金属矿采选业规模以上工业企业应付帐款,食品制造业规模以上工业企业应付帐款,黑色金属冶炼和压延加工业规模以上工业企业应付帐款,黑色金属矿采选业规模以上工业企业应付帐款
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
