,专用设备制造业规模以上工业企业亏损企业单位数,仪器仪表制造业规模以上工业企业亏损企业单位数,其他制造业规模以上工业企业亏损企业单位数,其他采矿业规模以上工业企业亏损企业单位数,农副食品加工业规模以上工业企业亏损企业单位数,化学原料和化学制品制造业规模以上工业企业亏损企业单位数,化学纤维制造业规模以上工业企业亏损企业单位数,医药制造业规模以上工业企业亏损企业单位数,印刷和记录媒介复制业规模以上工业企业亏损企业单位数,家具制造业规模以上工业企业亏损企业单位数,废弃资源综合利用业规模以上工业企业亏损企业单位数,开采辅助活动规模以上工业企业亏损企业单位数,文教、工美、体育和娱乐用品制造业规模以上工业企业亏损企业单位数,有色金属冶炼和压延加工业规模以上工业企业亏损企业单位数,有色金属矿采选业规模以上工业企业亏损企业单位数,木材加工和木、竹、藤、棕、草制品业规模以上工业企业亏损企业单位数,橡胶和塑料制品业规模以上工业企业亏损企业单位数,水的生产和供应业规模以上工业企业亏损企业单位数,汽车制造业规模以上工业企业亏损企业单位数,烟草制品业规模以上工业企业亏损企业单位数,煤炭开采和洗选业规模以上工业企业亏损企业单位数,燃气生产和供应业规模以上工业企业亏损企业单位数,电力、热力生产和供应业规模以上工业企业亏损企业单位数,电气机械和器材制造业规模以上工业企业亏损企业单位数,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业亏损企业单位数,石油加工、炼焦和核燃料加工业规模以上工业企业亏损企业单位数,石油和天然气开采业规模以上工业企业亏损企业单位数,纺织业规模以上工业企业亏损企业单位数,纺织服装、服饰业规模以上工业企业亏损企业单位数,规模以上工业企业亏损企业单位数,计算机、通信和其他电子设备制造业规模以上工业企业亏损企业单位数,通用设备制造业规模以上工业企业亏损企业单位数,造纸和纸制品业规模以上工业企业亏损企业单位数,酒、饮料和精制茶制造业规模以上工业企业亏损企业单位数,金属制品、机械和设备修理业规模以上工业企业亏损企业单位数,金属制品业规模以上工业企业亏损企业单位数,铁路、船舶、航空航天和其他运输设备规模以上工业企业亏损企业单位数,非金属矿物制品业规模以上工业企业亏损企业单位数,非金属矿采选业规模以上工业企业亏损企业单位数,食品制造业规模以上工业企业亏损企业单位数,黑色金属冶炼和压延加工业规模以上工业企业亏损企业单位数,黑色金属矿采选业规模以上工业企业亏损企业单位数
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1533.0,333.0,153.0,1.0,1426.0,2825.0,403.0,609.0,416.0,450.0,211.0,18.0,608.0,1216.0,224.0,430.0,1698.0,358.0,1424.0,8.0,1386.0,107.0,1395.0,2500.0,616.0,502.0,33.0,2284.0,1623.0,39664.0,2266.0,2191.0,761.0,445.0,71.0,1926.0,629.0,3167.0,184.0,631.0,2064.0,539.0
2013年,1722.0,392.0,179.0,1.0,1696.0,2846.0,341.0,658.0,508.0,514.0,244.0,25.0,695.0,1270.0,278.0,441.0,1873.0,370.0,1391.0,5.0,1796.0,127.0,1392.0,2649.0,699.0,465.0,33.0,2113.0,1705.0,41711.0,2330.0,2399.0,761.0,502.0,70.0,2021.0,615.0,3312.0,239.0,616.0,1888.0,530.0
2014年,1827.0,415.0,161.0,1.0,1992.0,2933.0,336.0,703.0,530.0,477.0,285.0,18.0,673.0,1288.0,318.0,446.0,1935.0,383.0,1502.0,11.0,1919.0,163.0,1559.0,2680.0,634.0,526.0,29.0,2158.0,1627.0,43452.0,2183.0,2544.0,783.0,578.0,62.0,2130.0,611.0,3495.0,280.0,690.0,1836.0,731.0
