,专用设备制造业规模以上工业企业财务费用,仪器仪表制造业规模以上工业企业财务费用,其他制造业规模以上工业企业财务费用,其他采矿业规模以上工业企业财务费用,农副食品加工业规模以上工业企业财务费用,化学原料和化学制品制造业规模以上工业企业财务费用,化学纤维制造业规模以上工业企业财务费用,医药制造业规模以上工业企业财务费用,印刷和记录媒介复制业规模以上工业企业财务费用,家具制造业规模以上工业企业财务费用,废弃资源综合利用业规模以上工业企业财务费用,开采辅助活动规模以上工业企业财务费用,文教、工美、体育和娱乐用品制造业规模以上工业企业财务费用,有色金属冶炼和压延加工业规模以上工业企业财务费用,有色金属矿采选业规模以上工业企业财务费用,木材加工和木、竹、藤、棕、草制品业规模以上工业企业财务费用,橡胶和塑料制品业规模以上工业企业财务费用,水的生产和供应业规模以上工业企业财务费用,汽车制造业规模以上工业企业财务费用,烟草制品业规模以上工业企业财务费用,煤炭开采和洗选业规模以上工业企业财务费用,燃气生产和供应业规模以上工业企业财务费用,电力、热力生产和供应业规模以上工业企业财务费用,电气机械和器材制造业规模以上工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业财务费用,石油加工、炼焦和核燃料加工业规模以上工业企业财务费用,石油和天然气开采业规模以上工业企业财务费用,纺织业规模以上工业企业财务费用,纺织服装、服饰业规模以上工业企业财务费用,规模以上工业企业财务费用,计算机、通信和其他电子设备制造业规模以上工业企业财务费用,通用设备制造业规模以上工业企业财务费用,造纸和纸制品业规模以上工业企业财务费用,酒、饮料和精制茶制造业规模以上工业企业财务费用,金属制品、机械和设备修理业规模以上工业企业财务费用,金属制品业规模以上工业企业财务费用,铁路、船舶、航空航天和其他运输设备规模以上工业企业财务费用,非金属矿物制品业规模以上工业企业财务费用,非金属矿采选业规模以上工业企业财务费用,食品制造业规模以上工业企业财务费用,黑色金属冶炼和压延加工业规模以上工业企业财务费用,黑色金属矿采选业规模以上工业企业财务费用
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,304.51582,51.67769,19.78617,0.21948,428.52646,906.87988,125.48309,166.82587,44.98163,53.15847,20.93461,12.05109,85.17105,559.32338,53.47494,95.88324,255.72561,78.10051,276.66336,-11.25868,621.47512,35.54953,2111.16127,559.45765,100.40572,357.98853,114.49014,448.82602,146.69259,11295.58703,248.51283,348.66321,234.18487,95.24754,10.17402,287.52308,114.28824,589.15346,45.18428,116.36123,1068.23467,113.88936
2013年,324.65,55.27,21.18,0.2,493.05,987.12,113.84,194.93,58.65,68.67,19.6,17.55,108.49,576.72,58.8,108.62,277.88,75.79,227.14,-11.4,776.01,39.66,2127.83,597.61,106.9,375.24,140.75,494.15,161.74,12008.26,243.81,386.45,211.21,102.86,9.93,329.67,130.61,677.2,53.77,122.2,1002.82,141.07
2014年,361.75,58.56,20.69,0.32,537.86,1216.08,130.13,231.29,62.13,66.79,26.65,19.96,113.14,687.43,74.69,118.72,295.76,89.81,247.42,-18.18,874.87,53.52,2341.4,605.56,111.97,468.44,158.99,504.36,159.57,13482.25,236.84,425.23,242.13,127.18,11.18,346.78,184.45,756.27,59.32,141.0,1164.39,167.8
