,专用设备制造业规模以上工业企业固定资产原价合计,仪器仪表制造业规模以上工业企业固定资产原价合计,其他制造业规模以上工业企业固定资产原价合计,其他采矿业规模以上工业企业固定资产原价合计,农副食品加工业规模以上工业企业固定资产原价合计,化学原料和化学制品制造业规模以上工业企业固定资产原价合计,化学纤维制造业规模以上工业企业固定资产原价合计,医药制造业规模以上工业企业固定资产原价合计,印刷和记录媒介复制业规模以上工业企业固定资产原价合计,家具制造业规模以上工业企业固定资产原价合计,废弃资源综合利用业规模以上工业企业固定资产原价合计,开采辅助活动规模以上工业企业固定资产原价合计,文教、工美、体育和娱乐用品制造业规模以上工业企业固定资产原价合计,有色金属冶炼和压延加工业规模以上工业企业固定资产原价合计,有色金属矿采选业规模以上工业企业固定资产原价合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业固定资产原价合计,橡胶和塑料制品业规模以上工业企业固定资产原价合计,水的生产和供应业规模以上工业企业固定资产原价合计,汽车制造业规模以上工业企业固定资产原价合计,烟草制品业规模以上工业企业固定资产原价合计,煤炭开采和洗选业规模以上工业企业固定资产原价合计,燃气生产和供应业规模以上工业企业固定资产原价合计,电力、热力生产和供应业规模以上工业企业固定资产原价合计,电气机械和器材制造业规模以上工业企业固定资产原价合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业固定资产原价合计,石油加工、炼焦和核燃料加工业规模以上工业企业固定资产原价合计,石油和天然气开采业规模以上工业企业固定资产原价合计,纺织业规模以上工业企业固定资产原价合计,纺织服装、服饰业规模以上工业企业固定资产原价合计,规模以上工业企业固定资产原价合计,计算机、通信和其他电子设备制造业规模以上工业企业固定资产原价合计,通用设备制造业规模以上工业企业固定资产原价合计,造纸和纸制品业规模以上工业企业固定资产原价合计,酒、饮料和精制茶制造业规模以上工业企业固定资产原价合计,金属制品、机械和设备修理业规模以上工业企业固定资产原价合计,金属制品业规模以上工业企业固定资产原价合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业固定资产原价合计,非金属矿物制品业规模以上工业企业固定资产原价合计,非金属矿采选业规模以上工业企业固定资产原价合计,食品制造业规模以上工业企业固定资产原价合计,黑色金属冶炼和压延加工业规模以上工业企业固定资产原价合计,黑色金属矿采选业规模以上工业企业固定资产原价合计
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,9905.02357,1987.32719,804.72035,13.98164,13741.64177,32008.80558,3052.45006,6487.01328,2195.20589,1593.02138,592.6318,1497.18844,2090.17103,13325.42595,1924.91081,2866.13032,8721.96734,4749.34321,14893.11974,2122.95134,20356.95531,2423.32568,88523.38059,15348.28854,2319.25457,13467.2094,20326.46357,11528.44336,4266.81749,434474.274,21352.732,12307.87485,7485.46361,5244.09845,527.46169,9155.64687,6688.9894,21376.19748,1447.47571,5149.06709,37357.93617,3248.16148
2013年,11772.78,2321.02,911.64,11.27,17510.58,38379.55,3306.75,8218.48,2723.61,2062.61,751.77,1789.84,2614.88,15431.84,2282.31,3512.42,10485.57,5317.75,17858.13,2296.41,23770.06,2691.58,98642.02,17677.46,2701.53,15122.87,21938.51,12770.92,5065.05,499404.09,24678.34,14541.42,7785.27,6086.44,545.85,10682.01,7104.81,24588.6,1701.03,6157.33,41721.4,3872.39
2014年,13601.26,2681.27,1031.7,7.38,19300.46,43213.09,3588.25,9689.21,3136.94,2324.22,940.93,2169.68,3193.72,17815.9,2691.15,4226.84,11648.73,5796.56,20864.51,2503.95,25861.12,3516.67,111353.16,19186.48,3125.61,16796.97,28064.17,14006.97,5738.88,563859.94,27211.55,16547.82,8241.94,6891.35,513.89,13386.67,7624.07,27809.18,2125.97,7083.06,43760.54,4588.11
