,专用设备制造业规模以上工业企业累计折旧,仪器仪表制造业规模以上工业企业累计折旧,其他制造业规模以上工业企业累计折旧,其他采矿业规模以上工业企业累计折旧,农副食品加工业规模以上工业企业累计折旧,化学原料和化学制品制造业规模以上工业企业累计折旧,化学纤维制造业规模以上工业企业累计折旧,医药制造业规模以上工业企业累计折旧,印刷和记录媒介复制业规模以上工业企业累计折旧,家具制造业规模以上工业企业累计折旧,废弃资源综合利用业规模以上工业企业累计折旧,开采辅助活动规模以上工业企业累计折旧,文教、工美、体育和娱乐用品制造业规模以上工业企业累计折旧,有色金属冶炼和压延加工业规模以上工业企业累计折旧,有色金属矿采选业规模以上工业企业累计折旧,木材加工和木、竹、藤、棕、草制品业规模以上工业企业累计折旧,橡胶和塑料制品业规模以上工业企业累计折旧,水的生产和供应业规模以上工业企业累计折旧,汽车制造业规模以上工业企业累计折旧,烟草制品业规模以上工业企业累计折旧,煤炭开采和洗选业规模以上工业企业累计折旧,燃气生产和供应业规模以上工业企业累计折旧,电力、热力生产和供应业规模以上工业企业累计折旧,电气机械和器材制造业规模以上工业企业累计折旧,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业累计折旧,石油加工、炼焦和核燃料加工业规模以上工业企业累计折旧,石油和天然气开采业规模以上工业企业累计折旧,纺织业规模以上工业企业累计折旧,纺织服装、服饰业规模以上工业企业累计折旧,规模以上工业企业累计折旧,计算机、通信和其他电子设备制造业规模以上工业企业累计折旧,通用设备制造业规模以上工业企业累计折旧,造纸和纸制品业规模以上工业企业累计折旧,酒、饮料和精制茶制造业规模以上工业企业累计折旧,金属制品、机械和设备修理业规模以上工业企业累计折旧,金属制品业规模以上工业企业累计折旧,铁路、船舶、航空航天和其他运输设备规模以上工业企业累计折旧,非金属矿物制品业规模以上工业企业累计折旧,非金属矿采选业规模以上工业企业累计折旧,食品制造业规模以上工业企业累计折旧,黑色金属冶炼和压延加工业规模以上工业企业累计折旧,黑色金属矿采选业规模以上工业企业累计折旧
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,4059.95739,823.38574,321.78001,7.62422,6509.1129,13217.3554,1234.55573,2674.47266,990.91045,579.70817,272.58171,645.46698,880.38513,4799.08857,595.85413,1188.36291,3755.37732,1775.99778,6272.77173,1101.70402,7809.87815,674.73703,33240.13997,6616.60669,962.06823,5771.90173,9365.99537,4762.88631,1777.05625,177901.10842,10447.5934,5049.67024,3093.68184,2068.48341,201.46897,3628.47917,2543.53004,7870.2437,560.81311,1943.2745,16696.47136,1109.676
2013年,4833.43,977.5,369.33,2.34,8920.1,15766.29,1411.71,3500.51,1255.27,885.1,410.99,821.1,1082.26,5659.05,750.28,1561.34,4629.19,1997.42,7543.82,1337.15,9278.74,723.96,37044.96,7879.33,1152.91,6894.85,10875.72,5563.38,2215.71,208700.07,12312.15,6173.22,3051.91,2311.67,195.96,4281.53,2727.57,9016.54,662.81,2444.5,18759.59,1418.91
2014年,5606.07,1204.81,418.37,1.45,9349.57,17679.96,1508.22,4046.28,1435.02,949.52,509.13,877.54,1341.02,6536.14,845.59,1934.1,5097.57,2176.32,8584.81,1317.46,10470.03,862.24,42843.49,8507.32,1344.51,7528.92,13890.75,6164.18,2526.19,236308.74,14058.67,7128.85,3345.92,2685.99,191.49,5034.31,2923.26,10490.59,932.66,2797.95,19345.21,1817.22
