,国外主要检索工具收录中医学科技论文篇数,国外主要检索工具收录临床医学科技论文篇数,国外主要检索工具收录交通运输科技论文篇数,国外主要检索工具收录信息、系统科学科技论文篇数,国外主要检索工具收录其他学科科技论文篇数,国外主要检索工具收录军事医学与特种医学科技论文篇数,国外主要检索工具收录农学科技论文篇数,国外主要检索工具收录冶金、金属学科技论文篇数,国外主要检索工具收录力学科技论文篇数,国外主要检索工具收录动力与电气科技论文篇数,国外主要检索工具收录化学科技论文篇数,国外主要检索工具收录化工科技论文篇数,国外主要检索工具收录土木建筑科技论文篇数,国外主要检索工具收录地学科技论文篇数,国外主要检索工具收录基础医学科技论文篇数,国外主要检索工具收录天文学科技论文篇数,国外主要检索工具收录安全科学技术科技论文篇数,国外主要检索工具收录工程与技术基础学科科技论文篇数,国外主要检索工具收录数学科技论文篇数,国外主要检索工具收录机械、仪表科技论文篇数,国外主要检索工具收录材料科学科技论文篇数,国外主要检索工具收录林学科技论文篇数,国外主要检索工具收录核科学技术科技论文篇数,国外主要检索工具收录水产学科技论文篇数,国外主要检索工具收录水利科技论文篇数,国外主要检索工具收录测绘科学技术科技论文篇数,国外主要检索工具收录物理学科技论文篇数,国外主要检索工具收录环境科技论文篇数,国外主要检索工具收录生物学科技论文篇数,国外主要检索工具收录电子、通讯与自动控制科技论文篇数,国外主要检索工具收录畜牧、兽医科学科技论文篇数,国外主要检索工具收录矿山工程技术科技论文篇数,国外主要检索工具收录科技论文数,国外主要检索工具收录管理科技论文篇数,国外主要检索工具收录能源科学技术科技论文篇数,国外主要检索工具收录航空航天科技论文篇数,国外主要检索工具收录药学科技论文篇数,国外主要检索工具收录计算技术科技论文篇数,国外主要检索工具收录轻工、纺织科技论文篇数,国外主要检索工具收录预防医学与卫生学科技论文篇数,国外主要检索工具收录食品科技论文篇数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
