,CPCI-S收录中医学科技论文篇数,CPCI-S收录临床医学科技论文篇数,CPCI-S收录交通运输科技论文篇数,CPCI-S收录信息、系统科学科技论文篇数,CPCI-S收录其他学科科技论文篇数,CPCI-S收录军事医学与特种医学科技论文篇数,CPCI-S收录农学科技论文篇数,CPCI-S收录冶金、金属学科技论文篇数,CPCI-S收录力学科技论文篇数,CPCI-S收录动力与电气科技论文篇数,CPCI-S收录化学科技论文篇数,CPCI-S收录化工科技论文篇数,CPCI-S收录土木建筑科技论文篇数,CPCI-S收录地学科技论文篇数,CPCI-S收录基础医学科技论文篇数,CPCI-S收录天文学科技论文篇数,CPCI-S收录安全科学技术科技论文篇数,CPCI-S收录工程与技术基础学科科技论文篇数,CPCI-S收录数学科技论文篇数,CPCI-S收录机械、仪表科技论文篇数,CPCI-S收录材料科学科技论文篇数,CPCI-S收录林学科技论文篇数,CPCI-S收录核科学技术科技论文篇数,CPCI-S收录水产学科技论文篇数,CPCI-S收录水利科技论文篇数,CPCI-S收录测绘科学技术科技论文篇数,CPCI-S收录物理学科技论文篇数,CPCI-S收录环境科技论文篇数,CPCI-S收录生物学科技论文篇数,CPCI-S收录电子、通讯与自动控制科技论文篇数,CPCI-S收录畜牧、兽医科学科技论文篇数,CPCI-S收录矿山工程技术科技论文篇数,CPCI-S收录科技论文篇数,CPCI-S收录管理科技论文篇数,CPCI-S收录能源科学技术科技论文篇数,CPCI-S收录航空航天科技论文篇数,CPCI-S收录药学科技论文篇数,CPCI-S收录计算技术科技论文篇数,CPCI-S收录轻工、纺织科技论文篇数,CPCI-S收录预防医学与卫生学科技论文篇数,CPCI-S收录食品科技论文篇数
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
