,中外合资保险公司总公司机构数,中外合资保险公司机构数,中外合资保险公司省级分公司机构数,中资保险公司中心支分公司机构数,中资保险公司总公司机构数,中资保险公司支公司机构数,中资保险公司机构数,中资保险公司省级分公司机构数,中资保险公司营业部机构数,中资保险公司营销服务部机构数,保险系统机构数,保险集团公司机构数
1978年,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,3,0,0,81,0,0,0,0
2000年,0,21,0,0,4,0,13,63,0,0,33,0
2001年,0,21,0,0,5,0,14,72,0,0,35,0
2002年,0,28,0,0,5,0,16,75,0,0,44,0
2003年,0,36,0,0,10,0,26,92,0,0,62,0
2004年,36,36,20,1505,27,3914,27,568,1703,215855,68,5
2005年,40,40,47,2740,42,6899,42,572,2674,29041,93,6
2006年,36,41,67,3121,40,7473,50,669,2728,34431,107,7
2007年,43,43,90,3835,59,9251,59,851,3082,39794,120,8
2008年,48,48,117,5224,64,10348,64,1055,2529,43818,130,8
2009年,52,52,150,5671,68,11813,68,1058,2771,45701,138,8
2010年,53,53,168,5812,81,13176,81,1126,2535,45519,142,8
2011年,51,51,360,6378,90,15710,90,1259,2506,43413,152,10
2012年,52,52,212,7377,101,18353,101,1644,2410,42973,164,10
2013年,55,55,224,7863,109,20334,109,1476,2382,42077,174,10
2014年,57,57,276,8117,113,21861,113,1490,2343,41240,180,10
